,id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
10095,10096,"entablé conversación con la sra. magdalena, se la oye muy bien. acompañada por su esposo e hijo. dijo no necesitar nada del municipio y que estaba agradecida por el llamado. se turnan con el esposo para hacer las compras y así van llevando la cuarentena. me despedí aclarando que ya no iba a molestarla ya que se encontraba, muy bien acompañada y me dijo que estaba de acuerdo. que del municipio no necesitaba nada ya que con las dos jubilaciones se las están arreglando bien.",POSITIVO,entable conversacion con la sra magdalena se la oye muy bien acompanada por su esposo e hijo dijo no necesitar nada del municipio y que estaba agradecida por el llamado se turnan con el esposo para hacer las compras y asi van llevando la cuarentena me despedi aclarando que ya no iba a molestarla ya que se encontraba muy bien acompanada y me dijo que estaba de acuerdo que del municipio no necesitaba nada ya que con las dos jubilaciones se las estan arreglando bien ,R
6130,6131,hoy es la tercera vez que intento comunicarme con Isabe. Llamé la semana pasada y no doy con ella. Hablé cn Carlos Rodriguez del área de atención psicológica y me contó que pudo charlar con ella. Intentaré mañana y la semana que viene.,NO RELEVANTE,hoy es la tercera vez que intento comunicarme con isabe llame la semana pasada y no doy con ella hable cn carlos rodriguez del area de atencion psicologica y me conto que pudo charlar con ella intentare manana y la semana que viene ,NR
427,428,"Hablé con Gustavo quien estaba muy agradecido porque recibió la medicación que necesitaba del hospital, de acuerdo con las instrucciones proporcionadas por la MVL a través mía, y le informé que registré tanto en la plataforma como a través del 147 la urgencia de recibir la caja de alimentos gestionada. Según me compartió, la recibió en 1 sola instancia, lo cuál me llamó la atención. Haré seguimiento.",NECESIDADES OPERATIVAS,hable con gustavo quien estaba muy agradecido porque recibio la medicacion que necesitaba del hospital de acuerdo con las instrucciones proporcionadas por la mvl a traves mia y le informe que registre tanto en la plataforma como a traves del _digit_ la urgencia de recibir la caja de alimentos gestionada segun me compartio la recibio en _digit_ sola instancia lo cual me llamo la atencion hare seguimiento ,NEC_OP
1334,1335,me atendio contestador automatico,NO RELEVANTE,me atendio contestador automatico,NR
11061,11062,"me atendió el marido que ella estaba descansando por que estaba con la presión alta , así que hablamos muy poco con el, le pregunte como estaba ella que la dejara descansar que cualquier cosa tiene mi celular por si necesitan algo, me agradeció mucho y me dijo que igual cuando se despierte le iba a avisar por que ella se pone muy contenta cada vez que habla con migo.",POSITIVO,me atendio el marido que ella estaba descansando por que estaba con la presion alta  asi que hablamos muy poco con el le pregunte como estaba ella que la dejara descansar que cualquier cosa tiene mi celular por si necesitan algo me agradecio mucho y me dijo que igual cuando se despierte le iba a avisar por que ella se pone muy contenta cada vez que habla con migo ,R
10733,10734,"la señora solicita si pueden enviar un voluntario/a para realizarle las compras en el mercado de proximidad, ya que tiene movilidad reducida",NEUTRAL,la senora solicita si pueden enviar un voluntario a para realizarle las compras en el mercado de proximidad ya que tiene movilidad reducida,NR
2012,2013,"Hablé con Leticia, por suerte se encuentra bien de salud y de ánimo.",POSITIVO,hable con leticia por suerte se encuentra bien de salud y de animo ,R
6784,6785,"Siempre esta de muy buen humor!!!!   Suele enviarme notificaciones alegres.   Charlando hoy con el encontre todo bien, salvo que fue al rio a caminar el sabado bien temprano y como habia viento se resfrio.  Ya le dieron medicacion(un spray para la garganta) y esta en su casa cuidandose.  Dice que hoy mucho mejor.   Volvere a llamar para chequear.",POSITIVO,siempre esta de muy buen humor  suele enviarme notificaciones alegres  charlando hoy con el encontre todo bien salvo que fue al rio a caminar el sabado bien temprano y como habia viento se resfrio  ya le dieron medicacion un spray para la garganta y esta en su casa cuidandose  dice que hoy mucho mejor  volvere a llamar para chequear ,R
1804,1805,El AM DIB Beatriz DNI  5321014  se encuentra muy bien.,POSITIVO,el am dib beatriz dni _digit_ se encuentra muy bien ,R
11572,11573,"no se puede establecer contacto, por estar la línea inhabilitada temporalmente para recibir llamadas. si pueden facilitarme otro contacto.",NO RELEVANTE,no se puede establecer contacto por estar la linea inhabilitada temporalmente para recibir llamadas si pueden facilitarme otro contacto ,NR
9120,9121,"Hablo con Rosa, finalizo la encuesta. Me cuenta que si los papeles de IOMA no están listos para el lunes, no podrá ir a la quimioterapia (otra vez) espera que se lo puedan solucionar. Se encuentra bien.",NEGATIVO,hablo con rosa finalizo la encuesta me cuenta que si los papeles de ioma no estan listos para el lunes no podra ir a la quimioterapia otra vez espera que se lo puedan solucionar se encuentra bien ,R
9852,9853,el adulto mayor se mudo me lo informo una señora que me atendió el tel,NEUTRAL,el adulto mayor se mudo me lo informo una senora que me atendio el tel,NR
9949,9950,"el día gris,  que refresco, que mira tele pero recreativa para no tener tanta mala energía.",POSITIVO,el dia gris  que refresco que mira tele pero recreativa para no tener tanta mala energia ,R
10791,10792,"le dieron el alta, esta mucho mejor. le comunico los datos para retirar bolsón de alimento",POSITIVO,le dieron el alta esta mucho mejor le comunico los datos para retirar bolson de alimento,R
11297,11298,"necesita que la ayuden con la vacunación a domicilio tiene 80 años y vive con su marido de 84 años que tiene problemas psiquiatricos crónicos. son ambos pacientes de riesgo
 fue a la salita de su domicilio ella de acuerdo al número de documento hizo la fila y le dijeron que no había mas vacunas. hace 10 dias que llama y le dicen lo mismo.",NEGATIVO,necesita que la ayuden con la vacunacion a domicilio tiene _digit_ anos y vive con su marido de _digit_ anos que tiene problemas psiquiatricos cronicos son ambos pacientes de riesgo
 fue a la salita de su domicilio ella de acuerdo al numero de documento hizo la fila y le dijeron que no habia mas vacunas hace _digit_ dias que llama y le dicen lo mismo ,R
1412,1413,"Me comuniqué con la mujer de Eldemiro. La señora se llama Ángela Francisca Rodriguez, se siente muy decaída, necesita acompañamiento psicológico.",NEGATIVO,me comunique con la mujer de eldemiro la senora se llama angela francisca rodriguez se siente muy decaida necesita acompanamiento psicologico ,R
10957,10958,lo asiste su hija y el mismo .,NEUTRAL,lo asiste su hija y el mismo ,NR
12379,12380,todavia no se pudo vacunar por falta de vacunas,NEGATIVO,todavia no se pudo vacunar por falta de vacunas,R
5049,5050,he solicitado mediante mail a medicamentos2020 segun nuevas directivas,NECESIDADES OPERATIVAS,he solicitado mediante mail a medicamentos_digit_ segun nuevas directivas,NEC_OP
9627,9628,"ayer 28/04 recibí el llamado de pablo, el hijo de matilde. días atrás lo llamé para advertirle el riesgo que corre en la calle, haciendo mandados para todo el barrio. es inteligente, tiene 53 años, comprende lo que le digo, pero siente afecto por esas personas que ayuda. aconsejé que fuera sólo una vez por semana y que le hagan un pedido semanal. no es posible que lo llamen cada vez que se olvidaron de comprar algo. entendió. ayer me llamó para decirme que no salió porque llovía, que se estaba cuidando, que pensó lo que le dije y va a ponerlo en práctica.",POSITIVO,ayer _digit_ _digit_ recibi el llamado de pablo el hijo de matilde dias atras lo llame para advertirle el riesgo que corre en la calle haciendo mandados para todo el barrio es inteligente tiene _digit_ anos comprende lo que le digo pero siente afecto por esas personas que ayuda aconseje que fuera solo una vez por semana y que le hagan un pedido semanal no es posible que lo llamen cada vez que se olvidaron de comprar algo entendio ayer me llamo para decirme que no salio porque llovia que se estaba cuidando que penso lo que le dije y va a ponerlo en practica ,R
9568,9569,alicia mirna no se encuentra interesada en recibir asistencia,NEUTRAL,alicia mirna no se encuentra interesada en recibir asistencia,NR
4749,4750,Se entrega Alimentos en domicilio 14/8/20.,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio _digit_ _digit_ _digit_ ,NEC_OP
10517,10518,"hoy hablamos y me pidió que le averigüe  que pasa que no le llega el impuesto de aysa, le dije que busque tranquila una boleta y me pase el nro, de cta",NEUTRAL,hoy hablamos y me pidio que le averigue que pasa que no le llega el impuesto de aysa le dije que busque tranquila una boleta y me pase el nro de cta,NR
5736,5737,Llame y se encontraba descansando. Llamo mas tarde,NO RELEVANTE,llame y se encontraba descansando llamo mas tarde,NR
10231,10232,"estaba acompañada, no pudimos conversar mucho",NEUTRAL,estaba acompanada no pudimos conversar mucho,NR
4546,4547,SE ENTREGO ALIMENTOS EN DOMICILIO EL 03/07/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
3006,3007,Sigue sin atender el telefono,NO RELEVANTE,sigue sin atender el telefono,NR
2271,2272,se entrega material cognitivo en domicilio 31/7/20.,NECESIDADES OPERATIVAS,se entrega material cognitivo en domicilio _digit_ _digit_ _digit_ ,NEC_OP
2016,2017,Saber como se encontraba y hablar de algunos temas .,NO RELEVANTE,saber como se encontraba y hablar de algunos temas ,NR
11784,11785,"se comunica ella conmigo, preocupada porque el marido tiene 39 de fiebre hace 48 hs. hace 72hs se dio la vacuna de la gripe, sin embargo estuvo haciendo compras anteriormente. hizo 2 videollamadas con el italiano y le indicaron acudir. me quiere consultar como puede circular si no tiene permiso. llamo al 107, me informo y llamo para informarla. acordamos que la llamare mañana para ver como sigue la situacion",POSITIVO,se comunica ella conmigo preocupada porque el marido tiene _digit_ de fiebre hace _digit_ hs hace _digit_hs se dio la vacuna de la gripe sin embargo estuvo haciendo compras anteriormente hizo _digit_ videollamadas con el italiano y le indicaron acudir me quiere consultar como puede circular si no tiene permiso llamo al _digit_ me informo y llamo para informarla acordamos que la llamare manana para ver como sigue la situacion,R
2684,2685,Le retiro y llevo a su casa la caja alimentaria y de limpieza,NECESIDADES OPERATIVAS,le retiro y llevo a su casa la caja alimentaria y de limpieza,NEC_OP
6678,6679,"Hablamos poco porque estaba con su hija, pero se la escuchaba excelente. Semana del 1/06 realizo un nuevo llamado.",POSITIVO,hablamos poco porque estaba con su hija pero se la escuchaba excelente semana del _digit_ _digit_ realizo un nuevo llamado ,R
686,687,"Esta bien, esperando para almorzar, cocina la hija, me saluda por el día del amigo y agradece el llamado.",POSITIVO,esta bien esperando para almorzar cocina la hija me saluda por el dia del amigo y agradece el llamado ,R
2521,2522,"Muy agradecida, pero no quiere que la llamemos mas. Dice que el hijo la ayuda y no necesita nada.",NO RELEVANTE,muy agradecida pero no quiere que la llamemos mas dice que el hijo la ayuda y no necesita nada ,NR
10792,10793,"le dije que el 29/4 llamo al 147 y me dan la fecha en que se tiene que ir a vacunar. 

llamar 22/4 a las 11 am (lo voy a ayudar con el trámite de aysa para la tarifa social y ayudar a conseguir la factura de claro)",NEUTRAL,le dije que el _digit_ _digit_ llamo al _digit_ y me dan la fecha en que se tiene que ir a vacunar 

llamar _digit_ _digit_ a las _digit_ am lo voy a ayudar con el tramite de aysa para la tarifa social y ayudar a conseguir la factura de claro ,NR
771,772,todo bien,POSITIVO,todo bien,R
10110,10111,es la tercera vez que la llamo y tiene su celular apagado hace varias semanas.,NO RELEVANTE,es la tercera vez que la llamo y tiene su celular apagado hace varias semanas ,NR
12552,12553,"ya no tiene dolor en la muñeca, lo quieren llevar a vacunar pero no están seguros como hacer.
están preocupados por la caja de alimentos, no saben porqué les dejaron de entregar y quieren saber una razón por la cual les ya no están entregándoles teniendo en cuenta que son jubilados con la mínima y no están muy bien económicamente",NEGATIVO,ya no tiene dolor en la muneca lo quieren llevar a vacunar pero no estan seguros como hacer 
estan preocupados por la caja de alimentos no saben porque les dejaron de entregar y quieren saber una razon por la cual les ya no estan entregandoles teniendo en cuenta que son jubilados con la minima y no estan muy bien economicamente,R
4296,4297,no atiende.,NO RELEVANTE,no atiende ,NR
654,655,CAJA A DOMICILIO,NECESIDADES OPERATIVAS,caja a domicilio,NEC_OP
9272,9273,"SIN CAMBIOS , SIGUE PREOCUPADA.",NEGATIVO,sin cambios  sigue preocupada ,R
5778,5779,Le dejo un mensaje acerca de los llamados falsos que ocurrieron a algunos AM.,NO RELEVANTE,le dejo un mensaje acerca de los llamados falsos que ocurrieron a algunos am ,NR
5598,5599,LE INTERESA LOS LLAMADOS,NO RELEVANTE,le interesa los llamados,NR
3177,3178,Charlamos sobre sus miedos y actividades que hace en su casa.,NEGATIVO,charlamos sobre sus miedos y actividades que hace en su casa ,R
6674,6675,Se encuentra muy bien,POSITIVO,se encuentra muy bien,R
11970,11971,"se encuentra muy bien de ánimo, conversamos sobre lo que está haciendo estos días.",POSITIVO,se encuentra muy bien de animo conversamos sobre lo que esta haciendo estos dias ,R
11974,11975,"se encuentra muy bien viendo un poco de tele y escuchando la radio, pasando los dias conversamos un buen rato",POSITIVO,se encuentra muy bien viendo un poco de tele y escuchando la radio pasando los dias conversamos un buen rato,R
10155,10156,"esta bien, por ahora no necesita  nada.",POSITIVO,esta bien por ahora no necesita nada ,R
7212,7213,"Se solicitó por mail el envío de caja de alimentos a domicilio,ya que el AM no puede retirarlo por problemas motrices.",NECESIDADES OPERATIVAS,se solicito por mail el envio de caja de alimentos a domicilio ya que el am no puede retirarlo por problemas motrices ,NEC_OP
5389,5390,el viernes 21 de agosto le llego la caja de alimentos despues de varios reclamos,NECESIDADES OPERATIVAS,el viernes _digit_ de agosto le llego la caja de alimentos despues de varios reclamos,NEC_OP
635,636,SE ENTREGO ALIMENTOS EN DOMICILIO 21/08/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio _digit_ _digit_ _digit_,NEC_OP
2101,2102,"Lo llame a las 17 hs y le informé donde ir por la vacuna antigripal, Instituto Marini Av. Maipu 3075 Olivos de L a V de 8 a 12 hs",NECESIDADES OPERATIVAS,lo llame a las _digit_ hs y le informe donde ir por la vacuna antigripal instituto marini av maipu _digit_ olivos de l a v de _digit_ a _digit_ hs,NEC_OP
4993,4994,No contesta. El celular da contestador automáticamente y el número fijo parece estar incorrecto.,NO RELEVANTE,no contesta el celular da contestador automaticamente y el numero fijo parece estar incorrecto ,NR
9263,9264,"Llamo a AM, le indico de que se trata el proyecto de asistencias y me indica, que ella vive con los hijos por lo tanto no requiere la asistencias ya que ellos la ayudan. Indica que tiene las vacunas ya .Agradece por la llamada y finaliza la misma.",NEUTRAL,llamo a am le indico de que se trata el proyecto de asistencias y me indica que ella vive con los hijos por lo tanto no requiere la asistencias ya que ellos la ayudan indica que tiene las vacunas ya agradece por la llamada y finaliza la misma ,NR
1583,1584,esta bien,POSITIVO,esta bien,R
7074,7075,Se ha realizado la derivación correspondiente para el envío de la caja de alimentos a domicilio.,NECESIDADES OPERATIVAS,se ha realizado la derivacion correspondiente para el envio de la caja de alimentos a domicilio ,NEC_OP
7831,7832,"en el dia de ayer  lunes feriado, hablamos mucho con susi, ella esta bien, un poco desanimada. me pido si podia comprarle una bolsa de agua, ya que la suya se rompio. 
le dije que no haba problema, que la compraria y se la llevaria en esta semana.",NECESIDADES OPERATIVAS,en el dia de ayer lunes feriado hablamos mucho con susi ella esta bien un poco desanimada me pido si podia comprarle una bolsa de agua ya que la suya se rompio 
le dije que no haba problema que la compraria y se la llevaria en esta semana ,NEC_OP
569,570,Le informo que no estaré participando más del voluntareado.,NO RELEVANTE,le informo que no estare participando mas del voluntareado ,NR
629,630,Se encuentra bien de salud y sin necesidades. Se pacta llamado para dentro de unos dias.,POSITIVO,se encuentra bien de salud y sin necesidades se pacta llamado para dentro de unos dias ,R
10279,10280,estan muy bien,POSITIVO,estan muy bien,R
6800,6801,"Comunicandome con Lucia, vive con su esposo y en este momento vivian en Olivos en la casa de su hija con su flia.
me dijo que se encuentran bien  en la casa de ella,contenidos y mimados .Reallzando algunas cosas de la casa",POSITIVO,comunicandome con lucia vive con su esposo y en este momento vivian en olivos en la casa de su hija con su flia 
me dijo que se encuentran bien en la casa de ella contenidos y mimados reallzando algunas cosas de la casa,R
1739,1740,Hoy lo llame por telefono para conversar con el pero no lo encontre.  Le deje msg x whatsapp. Estamos siempre en contacto x este medio.  El  me envia propagandas de actividades culturales de la municipalidad.  Se ve que tiene contactos y siempre se lo ve alegre y bien dispuesto.,POSITIVO,hoy lo llame por telefono para conversar con el pero no lo encontre  le deje msg x whatsapp estamos siempre en contacto x este medio  el me envia propagandas de actividades culturales de la municipalidad  se ve que tiene contactos y siempre se lo ve alegre y bien dispuesto ,R
4134,4135,no le interesa,NO RELEVANTE,no le interesa,NR
159,160,Siempre de buen ánimo y agradecida con la comunicación!!! Seguimos en contacto y saluda a todo el MUNICIPIO.,POSITIVO,siempre de buen animo y agradecida con la comunicacion seguimos en contacto y saluda a todo el municipio ,R
5238,5239,"Le avise del msj recibido al watsap con el horario de retiro en Irigoyen ya que la hija retira a su nombre los alimentos. Y no sabía que había kit de limpieza, ya que si necesita esas ayudas. De paso charlamos",NECESIDADES OPERATIVAS,le avise del msj recibido al watsap con el horario de retiro en irigoyen ya que la hija retira a su nombre los alimentos y no sabia que habia kit de limpieza ya que si necesita esas ayudas de paso charlamos,NEC_OP
4099,4100,Me atendió y me comentó que recibió la mercaderia que cualquier necesidad que tenga me avisa.,NECESIDADES OPERATIVAS,me atendio y me comento que recibio la mercaderia que cualquier necesidad que tenga me avisa ,NEC_OP
10506,10507,hoy fue al cardiologo y le cambio la medicación y le mando hacer un  análisis,NEGATIVO,hoy fue al cardiologo y le cambio la medicacion y le mando hacer un analisis,R
12291,12292,sin novedad,NO RELEVANTE,sin novedad,NR
10424,10425,"hable con la vecina y esta contenta porque pudo retirar un bolsón de alimentos para él, se encuentra bien segun lo que me dijo su vecina.",POSITIVO,hable con la vecina y esta contenta porque pudo retirar un bolson de alimentos para el se encuentra bien segun lo que me dijo su vecina ,R
12262,12263,"siguiendo con la comunicación habitual, la señora se encuentra bien en general, ya sea de salud como de ánimo.",POSITIVO,siguiendo con la comunicacion habitual la senora se encuentra bien en general ya sea de salud como de animo ,R
3306,3307,Número equivocado o se mudó de residencia.,NO RELEVANTE,numero equivocado o se mudo de residencia ,NR
9544,9545,"a norma ya la conozco por el esposo ricardo. hoy estaba medio bajon, tiene miedo de no ver mas a sus hijos, asi que charlamos bastante",NEUTRAL,a norma ya la conozco por el esposo ricardo hoy estaba medio bajon tiene miedo de no ver mas a sus hijos asi que charlamos bastante,NR
11044,11045,marta hoy se vacuno,NO RELEVANTE,marta hoy se vacuno,NR
7665,7666,"Hablo con AM. Hacemos la encuesta, me cuenta sobre las actividades que hacía de joven (planeación) y sobre cómo viene llevando la cuarentena. No tiene necesidades, quedamos en hablar en una semana",NEUTRAL,hablo con am hacemos la encuesta me cuenta sobre las actividades que hacia de joven planeacion y sobre como viene llevando la cuarentena no tiene necesidades quedamos en hablar en una semana,NR
5493,5494,No contesto llamado,NO RELEVANTE,no contesto llamado,NR
6150,6151,"esta muy bien , se siente bien con los llamados ,no tan seguido pero cada tanto charlar le hace bien asi que pactamos los llamados.",POSITIVO,esta muy bien  se siente bien con los llamados no tan seguido pero cada tanto charlar le hace bien asi que pactamos los llamados ,R
10925,10926,llamé pero no atendió nadie.,NO RELEVANTE,llame pero no atendio nadie ,NR
