id,texto,texto_ed,etiqueta_final,etiqueta_etapa0
35,"hoy estuve con maria , fui a llevarle algunas compras por la mañana y ella esta bien. le pude sacar turno con  su oftalmologo. la clinica que ella utiliza ya esta abierta..",llevarle compras manana pude sacar turno oftalmologo clinica utiliza abierta,POSITIVO,R
36,pedido,pedido,NO RELEVANTE,NR
37,"Bien de ánimo, dolorida por el accidente doméstico. Hoy está muy agradecida con la gestión de DS pues recibió su caja de alimentos.",animo dolorida accidente domestico agradecida gestion ds recibio caja alimentos,POSITIVO,R
38,SE ENTREGO ALIMENTOS EN DOMICILIO EL 17/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
39,"Hable con la esposa de Guillermo para poder completar la ficha en su totalidad, y luego Guillermo me comentó que extrañan muchisimo a sus familiares.",hable esposa guillermo completar ficha totalidad guillermo extranan muchisimo familiares,NEGATIVO,R
40,AM indica que se encuentra bien. Tiene a su hijo y a su nuera que  le asisten y dice que no requiere que le volvamos a llamar.,am indica hijo nuera asisten requiere volvamos llamar,POSITIVO,R
41,COMUNICARSE PARA ASIGNARLE TURNO PARA RETIRAR LA CAJA ALIMENTARIA,comunicarse asignarle turno retirar caja alimentaria,NECESIDADES OPERATIVAS,NR
42,"Se le comunicó a la voluntaria la designación de la Lic VANZANWEGHE Nayla
Inicio 19/6 -",comunico voluntaria designacion lic vanzanweghe inicio _digit_ _digit_ -,NECESIDADES OPERATIVAS,NR
43,"Animada ,charlamos de lo dificil que es estar encerrada ,ella se consuela cuando la viene a visitar su hijo que pasa para ver como esta y lo ve desde la pueta",animada charlamos dificil encerrada consuela viene visitar hijo pasa ve pueta,NEGATIVO,R
44,Saber como  se encontraba,encontraba,NO RELEVANTE,NR
45,La llame el 18 /06 Y necesita una medicación para la Artritis .Tome noto y lo voy a informar .,llame _digit_ _digit_ necesita medicacion artritis noto informar,NECESIDADES OPERATIVAS,NR
46,"Betty me traslado su preocupacion y desconfianza por el programa de voluntariado. Me comenta que hablo con las hijas y que no sienten que sea seguro para ella misma hablar con alguien desconocido. Le conte de manera protocolar que puede acceder a mis datos e informacion pero parece distante y sin animos de querer seguir charlando. 
El miedo hace que tal vez esta sea su reaccion",traslado preocupacion desconfianza programa voluntariado comenta hablo hijas sienten seguro hablar alguien desconocido conte protocolar acceder datos informacion distante animos querer seguir charlando miedo reaccion,NO RELEVANTE,NR
47,"El Sr. Miguel Angel  Ferrari es ciego, pero vive con la esposa que se llama Patricia, necesita que le den la vacuna antigripal, vive en AV.SAN MARTIN 4135 PB, Celular 1532317674",sr miguel angel ferrari ciego vive esposa llama necesita den vacuna antigripal vive av san _digit_ pb celular _digit_,NECESIDADES OPERATIVAS,NR
48,"Estuve comunicandome con ella via whatsapp vs veces, pero hoy la llame para charlar un rato.  Hable tambien con su esposo.  Estan bien los dos, pero siguen preocupados.  NO LOGRAN CONSEGUIR EL TURNO MEDICO para su esposo que tuvo CANCER DE PROSTATA para que un medico les pueda leer el informe de la ECOGRAFIA que se logro hacer recientemente.    Es la unica preocupacion que los tiene intranquilos.  El resto todo ok.  Yo ya hice vs reclamos pero no logro contactar medico para este tramite de leer los resultados.    No habra alguien en la salita de carapachay que pudiera asistirlo?  Muchas gracias",comunicandome via whatsapp vs llame charlar rato hable esposo siguen preocupados logran turno medico esposo cancer prostata medico leer informe ecografia logro recientemente unica preocupacion intranquilos resto ok hice vs reclamos logro contactar medico tramite leer resultados alguien salita carapachay pudiera asistirlo,NECESIDADES OPERATIVAS,NR
49,"se encuentra bien por suerte sigue encerrada cuidándose mucho ya que ella tuvo cáncer así que no puede ni asomarse a la calle cansada de todo pero aguantando el marido va hasta capital a retirar los remedios tanto para ella como para la hija que se encuentra internada que al marido la semana pasada arriba del colectivo en liniers le arrebataron  el celular por suerte no fue nada pero ahí tenia todos los permisos y los numero para poder hablar con los médicos pero por suerte están todos bien y no fue nada y no le hicieron nada.
Me dice que el nieto esta feliz con los días fríos y ella los sufre que antes no le pasaba pero que los años no vienen solos jajajaj.
Me agradeció mucho que siempre me acuerde de ella que es una compañía muy linda y es un lindo momento cuando charlamos.",suerte encerrada cuidandose cancer asomarse calle cansada aguantando marido capital retirar remedios hija internada marido semana colectivo liniers arrebataron celular suerte permisos numero hablar medicos suerte nieto feliz frios sufre pasaba anos vienen jajajaj agradecio acuerde compania linda lindo charlamos,NEGATIVO,R
50,no contesta el teléfono,contesta telefono,NO RELEVANTE,NR
51,Se encuentra bien,,POSITIVO,R
52,EL DIA 07/08/2020 SE ENTREGO CUADERNILLO ESTIMULACION COGNITIVA 1,_digit_ _digit_ _digit_ entrego cuadernillo estimulacion cognitiva _digit_,NECESIDADES OPERATIVAS,NR
53,"está bien, y muy agradecida de recibir los llamados",agradecida recibir llamados,POSITIVO,R
54,CAJA A DOMICILIO,caja domicilio,NECESIDADES OPERATIVAS,NR
55,"Llamo a AM, sin respuesta alguna.",llamo am respuesta,NO RELEVANTE,NR
56,HOY HABLE CON MARIA DEL CARMEN Y LAMENTABLEMENTE  FALLECIO EL  HERMANO   HUMBERTO ESTAN MUY MAL ELLLA Y MARTINA,hable carmen lamentablemente fallecio hermano humberto ellla,NEGATIVO,R
57,"Charlamos un rato por telefono y nos reimos un poco con su gatito.  Hablamos de lo que si podemos hacer en pandemia, ej algo solidario, leer libros, y hacer muchas tareas que normalmente no tenemos tiempo.  Ella esta bien de salud, solo hizo una consulta x whatsapp a su medica por dolores de cervical.  Fue un lindo encuentro. Esta de muy buen humor.    Lo que si me pregunto por descuentos en los impuestos y le re envie un whatsapp que recibi de la municipalidad en mayo explicando todo el tema.",charlamos rato telefono reimos gatito hablamos pandemia ej solidario leer libros tareas normalmente salud consulta whatsapp medica dolores cervical lindo encuentro humor pregunto descuentos impuestos re envie whatsapp recibi municipalidad mayo explicando tema,POSITIVO,R
58,Se encuentra bien. Recibió los alimentos.,recibio alimentos,POSITIVO,R
59,Se encuentra bien,,POSITIVO,R
60,muy bien de animo,animo,POSITIVO,R
61,me comunique para ver como estaba o si necesitaba algo y para charlar.,comunique necesitaba charlar,NO RELEVANTE,NR
62,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
63,Se realiza el llamado correspondiente. Amelia se encuentra de buen animo y dice que todo esta bien. No necesita nada por el momento. Comentamos un rato esta pandemia que nos toca vivir y charlamos sobre como se siente animicamente y comento que esta muy bien y que se entretiene con la tele y la radio. Quedamos en hacer un próximo llamado en unos días.,realiza llamado correspondiente amelia animo necesita comentamos rato pandemia toca vivir charlamos siente animicamente entretiene tele radio quedamos llamado,POSITIVO,R
64,Realice ficha integral y estuvimos hablando,realice ficha integral hablando,NO RELEVANTE,NR
65,"ESTÁ MUY BIEN, AUNQUE UN POCO ASUSTADA X LOS CONTAGIOS
LA LLAMARON DE LA MUNI X LOS TALLERES, EN EL HORARIO Q LE OFRECIERON ELLA NO PODÍA, SE COMPROMETIERON A LLAMARLA NUEVAMENTE PARA OFRECERLE OTRAS OPCIONES, PERO AL DÍA DE HOY AÚN NO LA LLAMARON",asustada contagios llamaron muni talleres horario ofrecieron podia comprometieron llamarla nuevamente ofrecerle opciones llamaron,NEGATIVO,R
66,HABLE CON KARINA Y TODAVIA NO SE PUDO COMUNICAR CON EL CARDIOLOGO  DEL HOSPITAL PARA HACER LOS ESTUDIOS DE SU MAMA  JULIA,hable comunicar cardiologo hospital estudios mama julia,NECESIDADES OPERATIVAS,NR
67,13/7/2020 envié whatsapp de seguimiento de acuerdo a lo acordado con la AM,_digit_ _digit_ _digit_ envie whatsapp seguimiento acuerdo acordado am,NO RELEVANTE,NR
68,Todo ok,ok,POSITIVO,R
69,se hablo esta bien le informo que cambio el sist de las cajas q cuando tenga alguna novedad la llamo,hablo cambio sist cajas novedad llamo,POSITIVO,R
70,El TE. de linea no corresponde a un abonado y el celu no lo contesta,linea corresponde abonado contesta,NO RELEVANTE,NR
71,me confunfi de persona. dar de baja a esta mujer porque no anda el telefono,confunfi persona baja mujer anda telefono,NO RELEVANTE,NR
72,Telefono fuera de linea  - Celular no atiende,telefono linea - celular atiende,NO RELEVANTE,NR
73,"PATRICIA, ANGELA BIEN AHORA YA ESTA EN SU CASA ME AVISO PATRICIA CON UN MS. MAÑANA HABLO CON ELLA",angela casa aviso ms manana hablo,POSITIVO,R
74,Sin novedad,novedad,NO RELEVANTE,NR
75,No se encuentra en este momento,,NO RELEVANTE,NR
76,"ANGELA BIEN ESTABA PINTANDO MANDALAS, SU HERMANO LE LLEVO MAS",angela pintando mandalas hermano llevo,POSITIVO,R
77,"11hs:después de varios días de no poder comunicarme,finalmente hablamos un largo rato y me conto que esta muy bien y que no necesita nada ni le interesa ninguna actividad que le ofreci,ya que con su hija y yerno realizan juegos  y otras actividades para pasar el tiempo.Me contó que antes se reunían en el club de barrio un grupo de jubiladas y jugaban a las cartas,etc. y ahora solo se hablan con algunas por teléfono. Estaba contenta y nos agradece que sigamos llamándola para saber como esta",_digit_hs comunicarme finalmente hablamos rato conto necesita interesa actividad ofreci hija yerno realizan juegos actividades pasar conto reunian club barrio grupo jubiladas jugaban cartas telefono contenta agradece sigamos llamandola,POSITIVO,R
78,"ANGELA BIEN, FELIZ DE ESTAR EN SU CASA",angela feliz casa,POSITIVO,R
79,Maria no esta interesada,interesada,NO RELEVANTE,NR
80,informe a pedido de la sec. de desarrollo social q en el dia de mañana le van a entregar la caja de alimentos en su domicilio,informe pedido sec desarrollo social manana entregar caja alimentos domicilio,NECESIDADES OPERATIVAS,NR
81,llamé pero me atendió el contestador,llame atendio contestador,NO RELEVANTE,NR
82,necesita un plomero trabajo en desarrollo social,necesita plomero trabajo desarrollo social,NECESIDADES OPERATIVAS,NR
83,Se encuentran bien.  Hablamos  de pintura. Porque el sr es carpintero. Me asesoró para pintar unas sillas.,encuentran hablamos pintura sr carpintero asesoro pintar sillas,POSITIVO,R
84,Se entrega Alimentos  en domicilio 14/8/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
85,"irene esta bien, con su esposo, es muy activa. siempre de buen animo.",irene esposo activa animo,POSITIVO,R
86,Llamada muy animada y divertida,llamada animada divertida,POSITIVO,R
87,"la Sra. está muy bien, dice que no necesita nada y tiene mi teléfono agendado por cualquier cosa.",necesita telefono agendado cosa,POSITIVO,R
88,"Deje mensaje, volveré a llamar.",deje mensaje volvere llamar,NO RELEVANTE,NR
89,llamado realizado no necesita nada.,llamado necesita,NEUTRAL,NR
90,Hable con Amelia. Me atendió muy bien y charlamos un rato. Me comento que esta bien y no necesita ninguna asistencia.,hable amelia atendio charlamos rato necesita asistencia,POSITIVO,R
91,"Primer llamado: va a pensar acerca de la propuesta.
Lo llamaré en un par de días",llamado pensar acerca propuesta llamare par,NO RELEVANTE,NR
92,28/8 Llamado,_digit_ _digit_ llamado,NO RELEVANTE,NR
93,SE ENTREGA ALIMENTOS EN DOMICILIO EL 08/07/2020,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
94,No contesto el llamado.,contesto llamado,NO RELEVANTE,NR
95,No responde,responde,NO RELEVANTE,NR
96,Está tranquilo y de buen humor,tranquilo humor,POSITIVO,R
97,"No necesita que la llamé, ya tiene asistencia, dice que se lo mencionó a la voluntaria anterior. Le dí mi teléfono x cualquier consulta.",necesita llame asistencia voluntaria di telefono consulta,NO RELEVANTE,NR
98,Paso a retirar recetas por su casa y las llevo a la farmacia. Vuelvo a dejarle los medicamentos.,paso retirar recetas casa llevo farmacia vuelvo dejarle medicamentos,NECESIDADES OPERATIVAS,NR
99,El Sr Bernini se encuentra bien y cuidado por su hija que vive con el. Dice no necesitar nada y agradece la llamada.,sr bernini cuidado hija vive necesitar agradece llamada,POSITIVO,R
100,preocupada por la situación de recuperación de la operación de su nuera. Tiene contención familiar.,preocupada situacion recuperacion operacion nuera contencion familiar,NEGATIVO,R
101,Se entrega material cognitivo en domicilio 24/7/20.,entrega material cognitivo domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
102,"Se encuentra bien, cansado del encierro, pero en gral. bien.",cansado encierro gral,NEGATIVO,R
103,"Nos conectamos todas las semanas por llamado y también por wasapp,",conectamos semanas llamado wasapp,NO RELEVANTE,NR
104,"no atiende nadie
saludos",atiende saludos,NO RELEVANTE,NR
105,Llamados a adultos mayores en la fecha.,llamados adultos mayores fecha,NO RELEVANTE,NR
106,"se encuentra bien con su familia
agradece el llamado
saludos",familia agradece llamado saludos,POSITIVO,R
107,"Llamo a AM, sin respuesta alguna y es el cuarto día de llamado. Procedo a indicar en el caso ""Se mudo"".",llamo am respuesta cuarto llamado procedo indicar caso mudo,NO RELEVANTE,NR
108,Lo llame para avisarle que si la sobrina va a retirar la caja de alimentos dan números y charlamos un ratito.,llame avisarle sobrina retirar caja alimentos numeros charlamos ratito,NECESIDADES OPERATIVAS,NR
109,Sin novedad,novedad,NO RELEVANTE,NR
110,"llame a Susi para ver como estaba, ella tiene toda la medicacion y ademas ya fe vacunada...estaba un poco bajoneada, pero por suerte charlamos y se animo bastante.",llame susi medicacion fe vacunada bajoneada suerte charlamos animo,NEGATIVO,R
111,"En el día de hoy, entré en contacto con la hija (Adriana), ella está viviendo con él y acompañándolo durante la pandemia. Ella comentó estar en contacto con Emilse de la Municipalidad (también del programa de asistencia a AM), con quién está coordiando un tema de remedios y recetas.",contacto hija viviendo acompanandolo pandemia contacto emilse municipalidad programa asistencia am coordiando tema remedios recetas,NEUTRAL,NR
112,no contesta,contesta,NO RELEVANTE,NR
113,Se encuentra muy bien,,POSITIVO,R
114,Habrá algún otro dato para poder contactar a este adulto mayor?  el único telefóno que aparece es inválido.,contactar adulto unico telefono aparece invalido,NO RELEVANTE,NR
115,"hable con zule y ella esta bien, estaba un poco triste x que operaron a su perrita. pero todo salio bien.",hable zule triste operaron perrita salio,NEGATIVO,R
116,Se encuentra muy bien la Sra.  Tranquilos.,tranquilos,POSITIVO,R
117,La señora se anoto en el taller de bordado y está muy contenta con la profesora Paula,senora anoto taller bordado contenta profesora paula,POSITIVO,R
118,le mando por whastapp los ejercicios cognitivos,mando whastapp ejercicios cognitivos,NECESIDADES OPERATIVAS,NR
119,se encuentra bien. me pidio que le envien los alimentos,pidio envien alimentos,NECESIDADES OPERATIVAS,NR
120,"Buenas tardes. Hable con la Sra. Graciela, esta bien junto a su madre, conforme como se están manejando el tema de la entrega de la caja de alimentos a domicilio.
Muchas Gracias",tardes hable madre conforme manejando tema entrega caja alimentos domicilio,POSITIVO,R
121,"En el día de la fecha llame varias veces nadie contestó, intentaré nuevamente más tarde.",fecha llame contesto intentare nuevamente,NO RELEVANTE,NR
122,"No contesto el llamado.
El primer teléfono da tono ocupado y el segundo va directo al buzón de voz.",contesto llamado telefono tono ocupado directo buzon voz,NO RELEVANTE,NR
123,Se encuentra bien y sin necesidades por el momento. Se pacta llamado dentro de unos dias.,necesidades pacta llamado,POSITIVO,R
124,Volver a llamar a Chirivino María en una semana.,volver llamar chirivino semana,NO RELEVANTE,NR
125,"Llamo a AM a 1144783367, pero sin respuesta alguna y tampoco hay respuesta de vecino de AM al 1126461627. Procedo a indicar en la ficha de AM ""Se mudo"", ya que no hay respuesta en la comunicación.",llamo am _digit_ respuesta respuesta vecino am _digit_ procedo indicar ficha am mudo respuesta comunicacion,NO RELEVANTE,NR
126,LLAMO SIN RESPUESTA,llamo respuesta,NO RELEVANTE,NR
127,No pude comunicarme,pude comunicarme,NO RELEVANTE,NR
128,Se entrega Cuadernillo Estimulación Cognitiva I en domicilio 7/8/20.,entrega cuadernillo estimulacion cognitiva domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
129,"19.30hs. me contacte con Graciela  que vive con su hermano Roberto, ella es lucida y muy activa,recibe el bolsón de alimentos cada 15 dias y me dijo que siempre la llama Fernanda que trabaja en el jardín de infantes a la vuelta del hospital Houssay ,para ver como esta .Quedamos que la llame cada 15 dias por si necesita algo mas específicamente remedios, porque refirió que están muy caros.",_digit_ _digit_hs contacte vive hermano roberto lucida activa recibe bolson alimentos _digit_ llama fernanda trabaja jardin infantes vuelta hospital houssay quedamos llame _digit_ necesita especificamente remedios refirio caros,NEUTRAL,NR
130,Sin novedad,novedad,NO RELEVANTE,NR
131,"Bien descansando y asistida por los sobrinos, agradece mucho el llamado.",descansando asistida sobrinos agradece llamado,POSITIVO,R
132,Muy buen animo.,animo,POSITIVO,R
133,Sin novedad,novedad,NO RELEVANTE,NR
134,Entrega de caja de alimentos,entrega caja alimentos,NECESIDADES OPERATIVAS,NR
135,esta bien,,POSITIVO,R
136,"feliz con sus nietos ,hoy le toco turno con el medico que la encontro muy bien de salud,animada y feliz con sus nietos",feliz nietos toco turno medico encontro salud animada feliz nietos,POSITIVO,R
137,Llame y entro directamente al contestador. Deje mensaje. Quería saber si la llamaron para llevar la caja de alimentos.,llame entro directamente contestador deje mensaje queria llamaron caja alimentos,NO RELEVANTE,NR
138,Se entrega alimentos  en domicilio 24/7/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
139,"en el día de la fecha se logro la comunicación con jorge ,mantuvimos una charla amena , se hablo mucho de cocina , y aproveche para darle recetas económicas y sencillas de preparar",fecha logro comunicacion jorge mantuvimos charla hablo cocina aproveche darle recetas economicas sencillas preparar,NEUTRAL,NR
140,"me comunique ayer y hoy, hable con su hija ilda. la señora graciela se encuentra bien.",comunique hable hija ilda senora,POSITIVO,R
141,Intenté nuevamente pero vuelve a indicar que el número de teléfono no corresponde a un abonado en servicio.,intente nuevamente vuelve indicar numero telefono corresponde abonado servicio,NO RELEVANTE,NR
142,no contestan el telefono,contestan telefono,NO RELEVANTE,NR
143,Nuevamente nadie responde el llamado. Dejé mensaje con mis datos por las dudas,nuevamente responde llamado deje mensaje datos dudas,NO RELEVANTE,NR
144,Le informé a la Sra. Prudencia Ferreyra los lugares en que se entregan la caja de comida y lugares de vacunación.,informe ferreyra lugares entregan caja comida lugares vacunacion,NECESIDADES OPERATIVAS,NR
145,No pude comunicarme,pude comunicarme,NO RELEVANTE,NR
146,Llame otra vez pero dio el contestador,llame contestador,NO RELEVANTE,NR
147,"07/07/20 - Llamo a AM al 1160016414, me atiende. Consulto como se encuentra, me dice que mal. Tiene un problema traumatológico, los turnos que tenía los perdió y dice que ahora no están atendiendo los médicos. Está con calmantes. De la Munci la llamaron para ver si estaba vacunada, se vacunó el año pasado. Consulto si está en contacto con familares, amigos, vecinos. Me indica que si, la nieta que vive en Jujuy está en Buenos Aires, volvió por un problema de salud que tenía una hermana. La visita hoy, y se va quedar un par de días más adelante. Consulto si la nieta tiene los papeles para circular, me indica que si. Hoy la amiga le trajo la caja de alimentos, nuevamente consulto si la quiere a domicilio, me indica que no por el momento mientras la amiga pueda traerla no. Nos despedimos, agradece el llamado, y cortamos.",_digit_ _digit_ _digit_ - llamo am _digit_ atiende consulto problema traumatologico turnos perdio atendiendo medicos calmantes munci llamaron vacunada vacuno ano consulto contacto familares amigos vecinos indica nieta vive jujuy aires volvio problema salud hermana visita quedar par consulto nieta papeles circular indica amiga trajo caja alimentos nuevamente consulto domicilio indica amiga traerla despedimos agradece llamado cortamos,NEGATIVO,R
148,"Se le envió información a la voluntaria respecto de los turnos médicos. A su vez, se derivó la  solicitud correspondiente a la Dirección de Atención Primaria de Salud",envio informacion voluntaria turnos medicos derivo solicitud correspondiente direccion atencion primaria salud,NEUTRAL,NR
149,Todo ok,ok,POSITIVO,R
150,Sin novedad,novedad,NO RELEVANTE,NR
151,"Se encuentra con algunos malestares, pero relativamente bien, charlamos un poco.",malestares relativamente charlamos,NEGATIVO,R
152,"
SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 24/07/2020",entrego material cognitivo domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
153,"Hablo con AM. Hacemos la encuesta, cuenta cosas de su día. Indica que NO tiene computadora y necesita. Una amiga en C.A.B.A. tiene una para regalarle pero no tiene cómo pasarla a buscar, pide averiguar de qué forma hacerlo ya que no confía en Glovo, Rappi, etc. Pide también ayuda aprender a usar zoom en el celular y hacer tutoriales de video - No está pudiendo sacar turno con el Banco Provincia y lo necesita porque no sabe cómo colocar la clave (le dice que es incorrecta)",hablo am encuesta indica computadora necesita amiga regalarle pasarla buscar pide averiguar forma confia glovo rappi pide ayuda aprender zoom celular tutoriales video - pudiendo sacar turno banco provincia necesita colocar clave incorrecta,NECESIDADES OPERATIVAS,NR
154,Charla,charla,NO RELEVANTE,NR
155,En el día de hoy me comuniqué nuevamente con la Sra. Luisa Evelia Verón me comentó que hoy fue a un nuevo cardiólogo que consiguió por su obra social IOMA. Venía con dos días de presión elevada asi que el tratarse la tranquilizó. le cambió la medicación por su cuadro de hipertensión y pudo hacerse el estudio de Electrocardiograma. Ahora esta estable.,comunique nuevamente luisa veron cardiologo consiguio obra social ioma venia presion elevada tratarse tranquilizo cambio medicacion cuadro hipertension hacerse estudio electrocardiograma estable,NEUTRAL,NR
156,Todo ok. Se charló un rato para hacer contención.,ok charlo rato contencion,POSITIVO,R
157,"Nos comunicamos, con la Sra.  nos informa que Guillermo fue internado el 2/8 con neumonía esta en TI,  me volvió a solicitar la caja con art de limpieza, y la tablet.  Teniendo en cuenta que la de alimentos fue entregada el viernes 31/7/20.",comunicamos informa guillermo internado _digit_ _digit_ neumonia volvio solicitar caja limpieza tablet alimentos entregada viernes _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
158,"El Sr. Osvaldo no atiende desde hace unos días, en ninguno de los dos números de teléfono.
A veces atiende la esposa.",sr osvaldo atiende numeros telefono atiende esposa,NO RELEVANTE,NR
159,"Contenta con mi llamado, espera que se comuniquen, para los cursos virtuales, ya que recibió la tablet.",contenta llamado espera comuniquen cursos virtuales recibio tablet,NECESIDADES OPERATIVAS,NR
160,Siempre de buen ánimo y agradecida con la comunicación!!! Seguimos en contacto y saluda a todo el MUNICIPIO.,animo agradecida comunicacion seguimos contacto saluda municipio,POSITIVO,R
161,Se entrego alimentos en domicilio el 08/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
162,"La Sra. sigue recibiendo mi llamado de una manera amable y breve. siempre dice que está contenida y que se arregla bien, que por el momento no necesita nada.. Al menos me agradece el llamado amablemente y mantenemos el contacto",recibiendo llamado contenida arregla necesita agradece llamado amablemente mantenemos contacto,POSITIVO,R
