id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
45,La llame el 18 /06 Y necesita una medicación para la Artritis .Tome noto y lo voy a informar .,NECESIDADES OPERATIVAS,la llame el _digit_ _digit_ y necesita una medicacion para la artritis tome noto y lo voy a informar ,NEC_OP
46,"Betty me traslado su preocupacion y desconfianza por el programa de voluntariado. Me comenta que hablo con las hijas y que no sienten que sea seguro para ella misma hablar con alguien desconocido. Le conte de manera protocolar que puede acceder a mis datos e informacion pero parece distante y sin animos de querer seguir charlando. 
El miedo hace que tal vez esta sea su reaccion",NO RELEVANTE,betty me traslado su preocupacion y desconfianza por el programa de voluntariado me comenta que hablo con las hijas y que no sienten que sea seguro para ella misma hablar con alguien desconocido le conte de manera protocolar que puede acceder a mis datos e informacion pero parece distante y sin animos de querer seguir charlando el miedo hace que tal vez esta sea su reaccion,NR
47,"El Sr. Miguel Angel  Ferrari es ciego, pero vive con la esposa que se llama Patricia, necesita que le den la vacuna antigripal, vive en AV.SAN MARTIN 4135 PB, Celular 1532317674",NECESIDADES OPERATIVAS,el sr miguel angel ferrari es ciego pero vive con la esposa que se llama patricia necesita que le den la vacuna antigripal vive en av san martin _digit_ pb celular _digit_,NEC_OP
48,"Estuve comunicandome con ella via whatsapp vs veces, pero hoy la llame para charlar un rato.  Hable tambien con su esposo.  Estan bien los dos, pero siguen preocupados.  NO LOGRAN CONSEGUIR EL TURNO MEDICO para su esposo que tuvo CANCER DE PROSTATA para que un medico les pueda leer el informe de la ECOGRAFIA que se logro hacer recientemente.    Es la unica preocupacion que los tiene intranquilos.  El resto todo ok.  Yo ya hice vs reclamos pero no logro contactar medico para este tramite de leer los resultados.    No habra alguien en la salita de carapachay que pudiera asistirlo?  Muchas gracias",NECESIDADES OPERATIVAS,estuve comunicandome con ella via whatsapp vs veces pero hoy la llame para charlar un rato  hable tambien con su esposo  estan bien los dos pero siguen preocupados  no logran conseguir el turno medico para su esposo que tuvo cancer de prostata para que un medico les pueda leer el informe de la ecografia que se logro hacer recientemente   es la unica preocupacion que los tiene intranquilos  el resto todo ok  yo ya hice vs reclamos pero no logro contactar medico para este tramite de leer los resultados   no habra alguien en la salita de carapachay que pudiera asistirlo muchas gracias,NEC_OP
49,"se encuentra bien por suerte sigue encerrada cuidándose mucho ya que ella tuvo cáncer así que no puede ni asomarse a la calle cansada de todo pero aguantando el marido va hasta capital a retirar los remedios tanto para ella como para la hija que se encuentra internada que al marido la semana pasada arriba del colectivo en liniers le arrebataron  el celular por suerte no fue nada pero ahí tenia todos los permisos y los numero para poder hablar con los médicos pero por suerte están todos bien y no fue nada y no le hicieron nada.
Me dice que el nieto esta feliz con los días fríos y ella los sufre que antes no le pasaba pero que los años no vienen solos jajajaj.
Me agradeció mucho que siempre me acuerde de ella que es una compañía muy linda y es un lindo momento cuando charlamos.",NEGATIVO,se encuentra bien por suerte sigue encerrada cuidandose mucho ya que ella tuvo cancer asi que no puede ni asomarse a la calle cansada de todo pero aguantando el marido va hasta capital a retirar los remedios tanto para ella como para la hija que se encuentra internada que al marido la semana pasada arriba del colectivo en liniers le arrebataron el celular por suerte no fue nada pero ahi tenia todos los permisos y los numero para poder hablar con los medicos pero por suerte estan todos bien y no fue nada y no le hicieron nada me dice que el nieto esta feliz con los dias frios y ella los sufre que antes no le pasaba pero que los anos no vienen solos jajajaj me agradecio mucho que siempre me acuerde de ella que es una compania muy linda y es un lindo momento cuando charlamos ,R
50,no contesta el teléfono,NO RELEVANTE,no contesta el telefono,NR
51,Se encuentra bien,POSITIVO,se encuentra bien,R
52,EL DIA 07/08/2020 SE ENTREGO CUADERNILLO ESTIMULACION COGNITIVA 1,NECESIDADES OPERATIVAS,el dia _digit_ _digit_ _digit_ se entrego cuadernillo estimulacion cognitiva _digit_,NEC_OP
53,"está bien, y muy agradecida de recibir los llamados",POSITIVO,esta bien y muy agradecida de recibir los llamados,R
54,CAJA A DOMICILIO,NECESIDADES OPERATIVAS,caja a domicilio,NEC_OP
55,"Llamo a AM, sin respuesta alguna.",NO RELEVANTE,llamo a am sin respuesta alguna ,NR
56,HOY HABLE CON MARIA DEL CARMEN Y LAMENTABLEMENTE  FALLECIO EL  HERMANO   HUMBERTO ESTAN MUY MAL ELLLA Y MARTINA,NEGATIVO,hoy hable con maria del carmen y lamentablemente fallecio el hermano  humberto estan muy mal ellla y martina,R
57,"Charlamos un rato por telefono y nos reimos un poco con su gatito.  Hablamos de lo que si podemos hacer en pandemia, ej algo solidario, leer libros, y hacer muchas tareas que normalmente no tenemos tiempo.  Ella esta bien de salud, solo hizo una consulta x whatsapp a su medica por dolores de cervical.  Fue un lindo encuentro. Esta de muy buen humor.    Lo que si me pregunto por descuentos en los impuestos y le re envie un whatsapp que recibi de la municipalidad en mayo explicando todo el tema.",POSITIVO,charlamos un rato por telefono y nos reimos un poco con su gatito  hablamos de lo que si podemos hacer en pandemia ej algo solidario leer libros y hacer muchas tareas que normalmente no tenemos tiempo  ella esta bien de salud solo hizo una consulta x whatsapp a su medica por dolores de cervical  fue un lindo encuentro esta de muy buen humor   lo que si me pregunto por descuentos en los impuestos y le re envie un whatsapp que recibi de la municipalidad en mayo explicando todo el tema ,R
58,Se encuentra bien. Recibió los alimentos.,POSITIVO,se encuentra bien recibio los alimentos ,R
59,Se encuentra bien,POSITIVO,se encuentra bien,R
60,muy bien de animo,POSITIVO,muy bien de animo,R
61,me comunique para ver como estaba o si necesitaba algo y para charlar.,NO RELEVANTE,me comunique para ver como estaba o si necesitaba algo y para charlar ,NR
62,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ se entrego alimentos en domicilio,NEC_OP
63,Se realiza el llamado correspondiente. Amelia se encuentra de buen animo y dice que todo esta bien. No necesita nada por el momento. Comentamos un rato esta pandemia que nos toca vivir y charlamos sobre como se siente animicamente y comento que esta muy bien y que se entretiene con la tele y la radio. Quedamos en hacer un próximo llamado en unos días.,POSITIVO,se realiza el llamado correspondiente amelia se encuentra de buen animo y dice que todo esta bien no necesita nada por el momento comentamos un rato esta pandemia que nos toca vivir y charlamos sobre como se siente animicamente y comento que esta muy bien y que se entretiene con la tele y la radio quedamos en hacer un proximo llamado en unos dias ,R
64,Realice ficha integral y estuvimos hablando,NO RELEVANTE,realice ficha integral y estuvimos hablando,NR
65,"ESTÁ MUY BIEN, AUNQUE UN POCO ASUSTADA X LOS CONTAGIOS
LA LLAMARON DE LA MUNI X LOS TALLERES, EN EL HORARIO Q LE OFRECIERON ELLA NO PODÍA, SE COMPROMETIERON A LLAMARLA NUEVAMENTE PARA OFRECERLE OTRAS OPCIONES, PERO AL DÍA DE HOY AÚN NO LA LLAMARON",NEGATIVO,esta muy bien aunque un poco asustada x los contagiosla llamaron de la muni x los talleres en el horario q le ofrecieron ella no podia se comprometieron a llamarla nuevamente para ofrecerle otras opciones pero al dia de hoy aun no la llamaron,R
66,HABLE CON KARINA Y TODAVIA NO SE PUDO COMUNICAR CON EL CARDIOLOGO  DEL HOSPITAL PARA HACER LOS ESTUDIOS DE SU MAMA  JULIA,NECESIDADES OPERATIVAS,hable con karina y todavia no se pudo comunicar con el cardiologo del hospital para hacer los estudios de su mama julia,NEC_OP
67,13/7/2020 envié whatsapp de seguimiento de acuerdo a lo acordado con la AM,NO RELEVANTE,_digit_ _digit_ _digit_ envie whatsapp de seguimiento de acuerdo a lo acordado con la am,NR
68,Todo ok,POSITIVO,todo ok,R
69,se hablo esta bien le informo que cambio el sist de las cajas q cuando tenga alguna novedad la llamo,POSITIVO,se hablo esta bien le informo que cambio el sist de las cajas q cuando tenga alguna novedad la llamo,R
70,El TE. de linea no corresponde a un abonado y el celu no lo contesta,NO RELEVANTE,el te de linea no corresponde a un abonado y el celu no lo contesta,NR
71,me confunfi de persona. dar de baja a esta mujer porque no anda el telefono,NO RELEVANTE,me confunfi de persona dar de baja a esta mujer porque no anda el telefono,NR
72,Telefono fuera de linea  - Celular no atiende,NO RELEVANTE,telefono fuera de linea - celular no atiende,NR
73,"PATRICIA, ANGELA BIEN AHORA YA ESTA EN SU CASA ME AVISO PATRICIA CON UN MS. MAÑANA HABLO CON ELLA",POSITIVO,patricia angela bien ahora ya esta en su casa me aviso patricia con un ms manana hablo con ella,R
74,Sin novedad,NO RELEVANTE,sin novedad,NR
75,No se encuentra en este momento,NO RELEVANTE,no se encuentra en este momento,NR
76,"ANGELA BIEN ESTABA PINTANDO MANDALAS, SU HERMANO LE LLEVO MAS",POSITIVO,angela bien estaba pintando mandalas su hermano le llevo mas,R
77,"11hs:después de varios días de no poder comunicarme,finalmente hablamos un largo rato y me conto que esta muy bien y que no necesita nada ni le interesa ninguna actividad que le ofreci,ya que con su hija y yerno realizan juegos  y otras actividades para pasar el tiempo.Me contó que antes se reunían en el club de barrio un grupo de jubiladas y jugaban a las cartas,etc. y ahora solo se hablan con algunas por teléfono. Estaba contenta y nos agradece que sigamos llamándola para saber como esta",POSITIVO,_digit_hs despues de varios dias de no poder comunicarme finalmente hablamos un largo rato y me conto que esta muy bien y que no necesita nada ni le interesa ninguna actividad que le ofreci ya que con su hija y yerno realizan juegos y otras actividades para pasar el tiempo me conto que antes se reunian en el club de barrio un grupo de jubiladas y jugaban a las cartas etc y ahora solo se hablan con algunas por telefono estaba contenta y nos agradece que sigamos llamandola para saber como esta,R
78,"ANGELA BIEN, FELIZ DE ESTAR EN SU CASA",POSITIVO,angela bien feliz de estar en su casa,R
79,Maria no esta interesada,NO RELEVANTE,maria no esta interesada,NR
80,informe a pedido de la sec. de desarrollo social q en el dia de mañana le van a entregar la caja de alimentos en su domicilio,NECESIDADES OPERATIVAS,informe a pedido de la sec de desarrollo social q en el dia de manana le van a entregar la caja de alimentos en su domicilio,NEC_OP
81,llamé pero me atendió el contestador,NO RELEVANTE,llame pero me atendio el contestador,NR
82,necesita un plomero trabajo en desarrollo social,NECESIDADES OPERATIVAS,necesita un plomero trabajo en desarrollo social,NEC_OP
83,Se encuentran bien.  Hablamos  de pintura. Porque el sr es carpintero. Me asesoró para pintar unas sillas.,POSITIVO,se encuentran bien  hablamos de pintura porque el sr es carpintero me asesoro para pintar unas sillas ,R
84,Se entrega Alimentos  en domicilio 14/8/20.,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio _digit_ _digit_ _digit_ ,NEC_OP
85,"irene esta bien, con su esposo, es muy activa. siempre de buen animo.",POSITIVO,irene esta bien con su esposo es muy activa siempre de buen animo ,R
86,Llamada muy animada y divertida,POSITIVO,llamada muy animada y divertida,R
87,"la Sra. está muy bien, dice que no necesita nada y tiene mi teléfono agendado por cualquier cosa.",POSITIVO,la sra esta muy bien dice que no necesita nada y tiene mi telefono agendado por cualquier cosa ,R
88,"Deje mensaje, volveré a llamar.",NO RELEVANTE,deje mensaje volvere a llamar ,NR
89,llamado realizado no necesita nada.,NEUTRAL,llamado realizado no necesita nada ,NR
90,Hable con Amelia. Me atendió muy bien y charlamos un rato. Me comento que esta bien y no necesita ninguna asistencia.,POSITIVO,hable con amelia me atendio muy bien y charlamos un rato me comento que esta bien y no necesita ninguna asistencia ,R
91,"Primer llamado: va a pensar acerca de la propuesta.
Lo llamaré en un par de días",NO RELEVANTE,primer llamado va a pensar acerca de la propuesta lo llamare en un par de dias,NR
92,28/8 Llamado,NO RELEVANTE,_digit_ _digit_ llamado,NR
93,SE ENTREGA ALIMENTOS EN DOMICILIO EL 08/07/2020,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
94,No contesto el llamado.,NO RELEVANTE,no contesto el llamado ,NR
95,No responde,NO RELEVANTE,no responde,NR
96,Está tranquilo y de buen humor,POSITIVO,esta tranquilo y de buen humor,R
97,"No necesita que la llamé, ya tiene asistencia, dice que se lo mencionó a la voluntaria anterior. Le dí mi teléfono x cualquier consulta.",NO RELEVANTE,no necesita que la llame ya tiene asistencia dice que se lo menciono a la voluntaria anterior le di mi telefono x cualquier consulta ,NR
98,Paso a retirar recetas por su casa y las llevo a la farmacia. Vuelvo a dejarle los medicamentos.,NECESIDADES OPERATIVAS,paso a retirar recetas por su casa y las llevo a la farmacia vuelvo a dejarle los medicamentos ,NEC_OP
99,El Sr Bernini se encuentra bien y cuidado por su hija que vive con el. Dice no necesitar nada y agradece la llamada.,POSITIVO,el sr bernini se encuentra bien y cuidado por su hija que vive con el dice no necesitar nada y agradece la llamada ,R
100,preocupada por la situación de recuperación de la operación de su nuera. Tiene contención familiar.,NEGATIVO,preocupada por la situacion de recuperacion de la operacion de su nuera tiene contencion familiar ,R
101,Se entrega material cognitivo en domicilio 24/7/20.,NECESIDADES OPERATIVAS,se entrega material cognitivo en domicilio _digit_ _digit_ _digit_ ,NEC_OP
102,"Se encuentra bien, cansado del encierro, pero en gral. bien.",NEGATIVO,se encuentra bien cansado del encierro pero en gral bien ,R
103,"Nos conectamos todas las semanas por llamado y también por wasapp,",NO RELEVANTE,nos conectamos todas las semanas por llamado y tambien por wasapp ,NR
104,"no atiende nadie
saludos",NO RELEVANTE,no atiende nadiesaludos,NR
105,Llamados a adultos mayores en la fecha.,NO RELEVANTE,llamados a adultos mayores en la fecha ,NR
106,"se encuentra bien con su familia
agradece el llamado
saludos",POSITIVO,se encuentra bien con su familiaagradece el llamadosaludos,R
107,"Llamo a AM, sin respuesta alguna y es el cuarto día de llamado. Procedo a indicar en el caso ""Se mudo"".",NO RELEVANTE,llamo a am sin respuesta alguna y es el cuarto dia de llamado procedo a indicar en el caso se mudo ,NR
108,Lo llame para avisarle que si la sobrina va a retirar la caja de alimentos dan números y charlamos un ratito.,NECESIDADES OPERATIVAS,lo llame para avisarle que si la sobrina va a retirar la caja de alimentos dan numeros y charlamos un ratito ,NEC_OP
109,Sin novedad,NO RELEVANTE,sin novedad,NR
110,"llame a Susi para ver como estaba, ella tiene toda la medicacion y ademas ya fe vacunada...estaba un poco bajoneada, pero por suerte charlamos y se animo bastante.",NEGATIVO,llame a susi para ver como estaba ella tiene toda la medicacion y ademas ya fe vacunada  estaba un poco bajoneada pero por suerte charlamos y se animo bastante ,R
111,"En el día de hoy, entré en contacto con la hija (Adriana), ella está viviendo con él y acompañándolo durante la pandemia. Ella comentó estar en contacto con Emilse de la Municipalidad (también del programa de asistencia a AM), con quién está coordiando un tema de remedios y recetas.",NEUTRAL,en el dia de hoy entre en contacto con la hija adriana  ella esta viviendo con el y acompanandolo durante la pandemia ella comento estar en contacto con emilse de la municipalidad tambien del programa de asistencia a am  con quien esta coordiando un tema de remedios y recetas ,NR
112,no contesta,NO RELEVANTE,no contesta,NR
113,Se encuentra muy bien,POSITIVO,se encuentra muy bien,R
114,Habrá algún otro dato para poder contactar a este adulto mayor?  el único telefóno que aparece es inválido.,NO RELEVANTE,habra algun otro dato para poder contactar a este adulto mayor el unico telefono que aparece es invalido ,NR
115,"hable con zule y ella esta bien, estaba un poco triste x que operaron a su perrita. pero todo salio bien.",NEGATIVO,hable con zule y ella esta bien estaba un poco triste x que operaron a su perrita pero todo salio bien ,R
116,Se encuentra muy bien la Sra.  Tranquilos.,POSITIVO,se encuentra muy bien la sra  tranquilos ,R
117,La señora se anoto en el taller de bordado y está muy contenta con la profesora Paula,POSITIVO,la senora se anoto en el taller de bordado y esta muy contenta con la profesora paula,R
118,le mando por whastapp los ejercicios cognitivos,NECESIDADES OPERATIVAS,le mando por whastapp los ejercicios cognitivos,NEC_OP
119,se encuentra bien. me pidio que le envien los alimentos,NECESIDADES OPERATIVAS,se encuentra bien me pidio que le envien los alimentos,NEC_OP
120,"Buenas tardes. Hable con la Sra. Graciela, esta bien junto a su madre, conforme como se están manejando el tema de la entrega de la caja de alimentos a domicilio.
Muchas Gracias",POSITIVO,buenas tardes hable con la sra graciela esta bien junto a su madre conforme como se estan manejando el tema de la entrega de la caja de alimentos a domicilio muchas gracias,R
121,"En el día de la fecha llame varias veces nadie contestó, intentaré nuevamente más tarde.",NO RELEVANTE,en el dia de la fecha llame varias veces nadie contesto intentare nuevamente mas tarde ,NR
122,"No contesto el llamado.
El primer teléfono da tono ocupado y el segundo va directo al buzón de voz.",NO RELEVANTE,no contesto el llamado el primer telefono da tono ocupado y el segundo va directo al buzon de voz ,NR
123,Se encuentra bien y sin necesidades por el momento. Se pacta llamado dentro de unos dias.,POSITIVO,se encuentra bien y sin necesidades por el momento se pacta llamado dentro de unos dias ,R
124,Volver a llamar a Chirivino María en una semana.,NO RELEVANTE,volver a llamar a chirivino maria en una semana ,NR
125,"Llamo a AM a 1144783367, pero sin respuesta alguna y tampoco hay respuesta de vecino de AM al 1126461627. Procedo a indicar en la ficha de AM ""Se mudo"", ya que no hay respuesta en la comunicación.",NO RELEVANTE,llamo a am a _digit_ pero sin respuesta alguna y tampoco hay respuesta de vecino de am al _digit_ procedo a indicar en la ficha de am se mudo ya que no hay respuesta en la comunicacion ,NR
126,LLAMO SIN RESPUESTA,NO RELEVANTE,llamo sin respuesta,NR
127,No pude comunicarme,NO RELEVANTE,no pude comunicarme,NR
128,Se entrega Cuadernillo Estimulación Cognitiva I en domicilio 7/8/20.,NECESIDADES OPERATIVAS,se entrega cuadernillo estimulacion cognitiva i en domicilio _digit_ _digit_ _digit_ ,NEC_OP
129,"19.30hs. me contacte con Graciela  que vive con su hermano Roberto, ella es lucida y muy activa,recibe el bolsón de alimentos cada 15 dias y me dijo que siempre la llama Fernanda que trabaja en el jardín de infantes a la vuelta del hospital Houssay ,para ver como esta .Quedamos que la llame cada 15 dias por si necesita algo mas específicamente remedios, porque refirió que están muy caros.",NEUTRAL,_digit_ _digit_hs me contacte con graciela que vive con su hermano roberto ella es lucida y muy activa recibe el bolson de alimentos cada _digit_ dias y me dijo que siempre la llama fernanda que trabaja en el jardin de infantes a la vuelta del hospital houssay para ver como esta quedamos que la llame cada _digit_ dias por si necesita algo mas especificamente remedios porque refirio que estan muy caros ,NR
130,Sin novedad,NO RELEVANTE,sin novedad,NR
131,"Bien descansando y asistida por los sobrinos, agradece mucho el llamado.",POSITIVO,bien descansando y asistida por los sobrinos agradece mucho el llamado ,R
132,Muy buen animo.,POSITIVO,muy buen animo ,R
133,Sin novedad,NO RELEVANTE,sin novedad,NR
134,Entrega de caja de alimentos,NECESIDADES OPERATIVAS,entrega de caja de alimentos,NEC_OP
135,esta bien,POSITIVO,esta bien,R
136,"feliz con sus nietos ,hoy le toco turno con el medico que la encontro muy bien de salud,animada y feliz con sus nietos",POSITIVO,feliz con sus nietos hoy le toco turno con el medico que la encontro muy bien de salud animada y feliz con sus nietos,R
137,Llame y entro directamente al contestador. Deje mensaje. Quería saber si la llamaron para llevar la caja de alimentos.,NO RELEVANTE,llame y entro directamente al contestador deje mensaje queria saber si la llamaron para llevar la caja de alimentos ,NR
138,Se entrega alimentos  en domicilio 24/7/20.,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio _digit_ _digit_ _digit_ ,NEC_OP
139,"en el día de la fecha se logro la comunicación con jorge ,mantuvimos una charla amena , se hablo mucho de cocina , y aproveche para darle recetas económicas y sencillas de preparar",NEUTRAL,en el dia de la fecha se logro la comunicacion con jorge mantuvimos una charla amena  se hablo mucho de cocina  y aproveche para darle recetas economicas y sencillas de preparar,NR
140,"me comunique ayer y hoy, hable con su hija ilda. la señora graciela se encuentra bien.",POSITIVO,me comunique ayer y hoy hable con su hija ilda la senora graciela se encuentra bien ,R
