,id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
6428,6429,Se entrega Alimentos en domicilio 14/8/20.,NECESIDADES OPERATIVAS,entrega alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
4538,4539,No fué posible lograr un contacto por el momento dado que no reponde el telefono.,NO RELEVANTE,posible lograr contacto reponde telefono,NR
12369,12370,"tiene problemas económicos  por este motivo no puede pagar los impuestos  ya que tiene una renta vitalicia de 1200 pesos de su esposo fallecido y tenia una ayuda de pami de 3000 pesos pero no cobra desde noviembre del año pasado. el paciente informa que es hipernervioso por lo que toma antidepresivos de diazepam y sertralina ( hace dos meses fue al psiquiatra). informa también que  se estaba haciéndose unos chequeos médicos por el tema de que bajo 10 kilos de manera abrupta y  fueron interrumpidos por la cuarentena. el paciente manifiesta que no se está alimentando de manera correcta. por otra parte , tiene problemas emocionales por que no puede ver a sus nietos y comenta que todo el tiempo quiere irse a dormir.  el paciente solicita alimentos, atencion psicologica y economica.",NEGATIVO,problemas economicos motivo pagar impuestos renta vitalicia _digit_ pesos esposo fallecido ayuda pami _digit_ pesos cobra noviembre ano informa hipernervioso toma antidepresivos diazepam sertralina meses psiquiatra informa haciendose chequeos medicos tema _digit_ kilos abrupta interrumpidos cuarentena manifiesta alimentando correcta problemas emocionales nietos comenta irse dormir solicita alimentos atencion psicologica economica,R
1203,1204,Hable con Isabel. Me cuenta que se encuentra bien y que no necesitan nada por ahora.,POSITIVO,hable isabel necesitan,R
5504,5505,-,NO RELEVANTE,-,NR
11044,11045,marta hoy se vacuno,NO RELEVANTE,vacuno,NR
2978,2979,"Se gestionó entrega de cada de alimentos con municipalidad vía email, me fue notificado que la misma se realiará el día de hoy a partir de las 11am.",NECESIDADES OPERATIVAS,gestiono entrega alimentos municipalidad via email notificado realiara _digit_am,NEC_OP
3446,3447,"Estan bien, de animo!!",POSITIVO,animo,R
9341,9342," a mabel la veo tomas las tardecitas cuando sacamos la basura , combinamos el horario así charlamos un ratio, tomando todas las medida de prevención",POSITIVO,veo tardecitas sacamos basura combinamos horario charlamos ratio tomando medida prevencion,R
12768,13329,"Esta bien de salud, muy preocupada por un pariente internado en capital, tuvimos una larga charla y agradece el llamado y la contención.",NEGATIVO,salud preocupada pariente internado capital larga charla agradece llamado contencion,R
5548,5549,Martin se encuentra bien y como cada semana charlamos un ratito q cada dia se hace mas amigable de hecho ya sabe q los llamare una vez por semana...,POSITIVO,semana charlamos ratito amigable llamare semana,R
4705,4706,05/06/2020 SE ENTRGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrgo alimentos domicilio,NEC_OP
6666,6667,se entrega alimentos  en domicilio 31/7/20.,NECESIDADES OPERATIVAS,entrega alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
6741,6742,Me comunique con Amelia. Charlamos sobre el clima y sobre la caja de alimentos que recibe. Le preocupa el tema del frio porque en su casa se siente mucho. No posee celular ni tiene internet por lo tanto no se mostro interesada en la encuesta que le realice. No le interesa la tecnologia. Solo mira la tele y escucha la radio. Quedamos en hablar la semana proxima.,NEGATIVO,comunique amelia charlamos clima caja alimentos recibe preocupa tema frio casa siente posee celular internet mostro interesada encuesta realice interesa tecnologia mira tele escucha radio quedamos hablar semana proxima,R
921,922,"Hoy logré comunicarme pero con su hijo,  me avisa  que se encuentra bien pero no está en su domicilio en el momento.",POSITIVO,logre comunicarme hijo avisa domicilio,R
12865,12272,por decision propia se maneja sola con las compras y farmacia. esta angustiada extraña a los hijos y nietos. recibe atencion psicologica desde el centro de la mujer por violencia de genero. pacte nuevo llamado en la semana.,NEGATIVO,decision maneja compras farmacia angustiada extrana hijos nietos recibe atencion psicologica centro mujer violencia genero pacte llamado semana,R
11517,11518,no pude comunicarme.,NO RELEVANTE,pude comunicarme,NR
3979,3980,charlamos sobre los estudios que se tuvo que hacer vicente,NEUTRAL,charlamos estudios vicente,NR
12167,12168,"se realizó el primer llamado. no se sentía bien para hablar, quedé en que lo llamaba mañana. dijo que tiene gente que lo atiende, no pude hablar más que eso. (tuvo un acv, no se cuando y manifestó tener problemas del corazón aunque no requiere ayuda).",NEGATIVO,llamado sentia hablar quede llamaba manana gente atiende pude hablar acv problemas requiere ayuda,R
4850,4851,"Se encuentra activa. Le interesan las actividades, se las informaré por correo electrónico a la espera de la confirmación de las actividades del mes de septiembre.",NECESIDADES OPERATIVAS,activa interesan actividades informare correo electronico espera confirmacion actividades mes septiembre,NEC_OP
6452,6453,Se extiende una vez más la solicitud correspondiente vía email para la entrega de la caja de alimentos en domicilio a AM. Se queda a la espera de respuesta.,NECESIDADES OPERATIVAS,extiende solicitud correspondiente via email entrega caja alimentos domicilio am queda espera respuesta,NEC_OP
12310,12311,"solicita artículos de limpieza, porque estan muy caros y le dificulta comprar.",NEUTRAL,solicita articulos limpieza caros dificulta comprar,NR
10949,10950,"llamo alrededor de las 18.00 horas nuevamente al celular de referencia, recibiendo la llamada el contestador automático. no dejo mensaje. intentaré comunicarme en otro momento.",NO RELEVANTE,llamo _digit_ _digit_ nuevamente celular referencia recibiendo llamada contestador automatico mensaje intentare comunicarme,NR
10968,10969,"lo llame y esta de buen humor como siempre, muy amable y agradecido, lo tengo q volver a llamar lo antes posible para averiguarle por un turno en el hospital.",POSITIVO,llame humor agradecido volver llamar posible averiguarle turno hospital,R
12388,12389,"todo bien , sin novedades, todavia no se pudo vacunar, llamo a la uap y no tenian vacunas",NEUTRAL,novedades vacunar llamo uap vacunas,NR
2593,2594,Marta y su marido están bien. Está interesada en alguna actividad de entretenimiento que se pudiera generar.,POSITIVO,marido interesada actividad entretenimiento pudiera generar,R
6572,6573,"Muy bien de animo. Las dos semanas anteriores no me pude comunicar, porque a veces suele ir a caminar o hacer un par de cosas en la calle.
Hablamos sobre la fe en dios y todo el mal momento que estamos viviendo mundial-mente.",POSITIVO,animo semanas anteriores pude comunicar suele caminar par calle hablamos fe viviendo mundial-mente,R
4387,4388,Llamado y charla de.busqueda.de.estudios en el.hospital.,NEUTRAL,llamado charla busqueda estudios hospital,NR
5198,5199,Hoy la llame por telefono para conversar con ella y no la encontre. Le deje un msg de whatsapp.  Estamos relacionadas por este medio.  Esperare su respuesta en el dia de hoy.,NO RELEVANTE,llame telefono conversar encontre deje msg whatsapp relacionadas esperare respuesta,NR
6856,6857,"no responde , el celular parece estar apagado",NO RELEVANTE,responde celular apagado,NR
1382,1383,"Recibio la caja de alimentos.
Y pregunto x articulos de limpieza.",NECESIDADES OPERATIVAS,recibio caja alimentos pregunto articulos limpieza,NEC_OP
10803,10804,"le informé a la sra. sobre el pedido que hizo a pami por la vacuna a domicilio. llame a pami y me dijeron que su pedido estaba en curso desde el día 14 de abril. que solo falta que ellos se comuniquen con ella para programar un día y horario, pero no saben cuando. la sra. martha se encontraba con buen estado anímico. quedamos en hablar nuevamente el día miércoles.",POSITIVO,informe pedido pami vacuna domicilio llame pami pedido curso _digit_ abril falta comuniquen programar horario encontraba animico quedamos hablar nuevamente miercoles,R
1958,1959,se le fue entregada la segunda caja de alimentos,NECESIDADES OPERATIVAS,entregada caja alimentos,NEC_OP
4152,4153,"Me solicitó ayuda para saber dónde podía ir a una guardia odontológica o donde podia sacar un turno para un odontólogo, lo cual le estoy buscando",NECESIDADES OPERATIVAS,solicito ayuda podia guardia odontologica podia sacar turno odontologo buscando,NEC_OP
6651,6652,"21/06- MARIA DEL CARMEN BIEN, PREPARANDO LA COMIDA PARA LA SEMANA.
22/06- MARIA DEL CARMEN BIEN, DECIDIO NO ABRIR EL NEGOCIO A PARTIR DE MAÑANA PARA CUIDARSE DEBIDO A LA CANTIDAD DE CONTAGIOS QUE HAY.",POSITIVO,_digit_ _digit_- carmen preparando comida semana _digit_ _digit_- carmen decidio abrir negocio manana cuidarse cantidad contagios,R
8671,8672,"Primer contacto. Charla amena con Mabel, quien agradeció esta iniciativa de llamar a las personas mayores mediante el acompañamiento telefónico.",NEUTRAL,contacto charla agradecio iniciativa llamar personas mayores acompanamiento telefonico,NR
3806,3807,"lopez gerardo esposo de nely barrio el ceibo, no necesita que lo llamen",NO RELEVANTE,lopez esposo nely barrio ceibo necesita llamen,NR
1037,1038,"Buen dia hoy retome la charla con alicia para hacer el pedido de la caja de alimentos y los articulos de limpieza , los necesita habitualmente , ella se encuentra de buen animo . quedamos que la voy a contactar una ves por semana para charlar un rato .",NECESIDADES OPERATIVAS,retome charla alicia pedido caja alimentos articulos limpieza necesita habitualmente animo quedamos contactar ves semana charlar rato,NEC_OP
394,395,Sin novedad,NO RELEVANTE,novedad,NR
2951,2952,Bolson de mercaderia,NECESIDADES OPERATIVAS,bolson mercaderia,NEC_OP
6895,6896,Lo llame dos veces y no responde. Voy a intentar mañana nuevamente.,NO RELEVANTE,llame responde manana nuevamente,NR
4867,4868,"Adulto Mayor vive con su esposa, ambos se encuentran bien de salud recibió ayuda alimentaria y agradece al municipio por la caja de alimentos.",POSITIVO,adulto vive esposa encuentran salud recibio ayuda alimentaria agradece municipio caja alimentos,R
4488,4489,Va a retirar la caja con la periodicidad indicada,NECESIDADES OPERATIVAS,retirar caja periodicidad indicada,NEC_OP
7131,7132,No atiende se deja mensaje y no los responde,NO RELEVANTE,atiende deja mensaje responde,NR
7841,7842,SE ENTREGO ALIMENTOS EN DOMICILIO EL 17/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
8153,8154,"sigue todo bien, por el momento no necesita nada",POSITIVO,necesita,R
7128,7129,"hoy la llame, pero no pude comunicarme...hare el intento mas tarde",NO RELEVANTE,llame pude comunicarme hare,NR
11319,11320,"nelida
 contenta que le llevaron la caja a pesar que le dije que tenía que retirarla igual no tenia posibilidades de hacerlo. hablamos todo el tiempo x wp",POSITIVO,contenta llevaron caja dije retirarla posibilidades hablamos wp,R
2548,2549,El teléfono del Sr. Arguello dice que no está disponible para recibir llamados,NO RELEVANTE,telefono sr arguello disponible recibir llamados,NR
9959,9960,"el mail que envié por la consulta de pablo no se a dónde fue. en salud me atendió la sra. valeria alvarez,  reenvié el mail.  me solicitó los datos para hablar y consultar el nombre de los facultativos o entidades que lo atienden.  avisé a matilde el posible llamado de valeria. pablo ahora está bien, volvió a tomar la medicación como siempre lo hizo, durmió mucho y descansó, pero aún sigue en cama",NEUTRAL,mail envie consulta pablo salud atendio valeria alvarez reenvie mail solicito datos hablar consultar nombre facultativos entidades atienden avise matilde posible llamado valeria pablo volvio tomar medicacion durmio descanso cama,NR
6307,6308,"El AM estaba muy molesta con el Hospital porq fue y no la quisieron atender en Traumatología por una orden vencida de densitometria, me aclara q el hecho paso hace 2meses y que el Dr. La derivó al 28 de agosto para solicitar el turno para el estudio y luego para sacar turno con Traumatología. Me expréso que no necesita nada más , pero que se tendría que modificar la atención en el Hospital para  los contribuyentes para cualquier estudio y patología. No requiere una solución únicamente para ella sino para todos en general. Que sus otras necesidades las tiene cubiertas por sus hijos. Estaba muy receptiva pero molesta. Le aclaro que la estaré llamando y me dice q no tiene problema con ello.",NEGATIVO,am molesta hospital porq quisieron atender traumatologia orden vencida densitometria aclara paso _digit_meses dr derivo _digit_ agosto solicitar turno estudio sacar turno traumatologia necesita modificar atencion hospital contribuyentes estudio patologia requiere solucion unicamente necesidades cubiertas hijos receptiva molesta aclaro llamando problema,R
9402,9403,"1°intento de comunicación
no lo logré.",NO RELEVANTE,_digit_intento comunicacion logre,NR
4930,4931,Todo en orden,POSITIVO,orden,R
10530,10531,"hoy la note bastante entretenida a olga, afortunadamente encontró varias cosas para pasar el tiempo como por ejemplo planchar, leer libros, limpiar, etc. la note contenta. justo cuando la llame estaba cociendo unas medias que tenía para arreglar por ende la charla fue un poco breve. quedamos en hablar la semana que viene",POSITIVO,note entretenida afortunadamente encontro pasar planchar leer libros limpiar note contenta justo llame cociendo medias arreglar ende charla quedamos hablar semana viene,R
959,960,HABLE CON  SEFERINO ESTUVO EN EL  NEGOCIO  Y ESTA BIEN,POSITIVO,hable seferino negocio,R
3722,3723,"Llamo a AM, le comento acerca del proyecto de asistencias y me indica que ella sale a hacer las compras al supermercado cercano a su casa. Me comenta que su sobrino, le hace las compras de los medicamentos y que ya se dio las vacunas correspondientes. De todas formas agradece por el llamado y finaliza la llamada.",NEUTRAL,llamo am acerca proyecto asistencias indica sale compras supermercado cercano casa comenta sobrino compras medicamentos vacunas correspondientes formas agradece llamado finaliza llamada,NR
6127,6128,"Tuvimos una muy linda charla con ceferina....una genia me tocó...
Muy buen ánimo",POSITIVO,linda charla ceferina genia toco animo,R
3530,3531,Se encuentra bien. Contento porque pudo conseguir los medicamentos.,POSITIVO,contento medicamentos,R
6715,6716,ESTA MUY BIEN CONTENIDA CON SUS HIJOS Y BIEN DE SALUD,POSITIVO,contenida hijos salud,R
2987,2988,"Se encuentra muy bien de ánimo, no se pudo hacer los controles cardiológicos pero igualmente refiere sentirse muy bien físicamente. Sigue contando con el apoyo de su flia.",POSITIVO,animo controles cardiologicos igualmente refiere sentirse fisicamente contando apoyo flia,R
7558,7559,me dijo que por el momento no necesitan nada quedamos que lo volvía a llamar en 15 días.,POSITIVO,necesitan quedamos volvia llamar _digit_,R
12367,12368,tiene hijos que se encargan de traerle y hacerle llegar las cosas .  no requiere atencion,NEUTRAL,hijos encargan traerle hacerle llegar requiere atencion,NR
9221,9222,"En el día de la fecha realizó el llamado, me dijo q se encontraba bien pero está angustiada por qué está cansada de tanto encierro y necesita salir, pero bueno respeta la cuarentena, la escuché un poco nerviosa m dijo q estaba por limpiar y quedamos en que la volvía a llamar ala tarde.",NEGATIVO,fecha llamado encontraba angustiada cansada encierro necesita salir respeta cuarentena escuche nerviosa limpiar quedamos volvia llamar ala,R
9714,9715,"como viene siendo costumbre, otro breve llamado dónde me hacen sabe que todo está bien. 
quisiera aclarar que son ellos quienes me marcan el fin de la llamada.",POSITIVO,viene costumbre llamado quisiera aclarar marcan llamada,R
7220,7221,"tiene problemas con la diabetes, va a ir el lunes la hermana a sacar turno, le duelen las piernas.
està asistida pero necesita ir al mèdico.",NEGATIVO,problemas diabetes lunes hermana sacar turno duelen piernas asistida necesita medico,R
7618,7619,No hay observación nueva,NO RELEVANTE,observacion,NR
1593,1594,"Realice la encuesta... No sabía su mail, quedamos en que me lo pasa en el próximo llamado.
La encontré bien anímicamente.
Sigue sin recibir los medicamentos por Andreani.",NECESIDADES OPERATIVAS,realice encuesta sabia mail quedamos pasa llamado encontre animicamente recibir medicamentos andreani,NEC_OP
1383,1384,"Actualización 2 de Junio - La Sra Marta manifestó que seguirá la asistencia DAIANA, quien el entregó la semana pasada la caja de alimentos, le dejó registrado su número de celular y se ofreció para realizar compras, asistirla en lo que necesite",NO RELEVANTE,actualizacion _digit_ junio - seguira asistencia entrego semana caja alimentos registrado numero celular ofrecio compras asistirla necesite,NR
1273,1274,SE ENTREGO ALIMENTOS EN DOMICILIO EL 17/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
7228,7229,Llamé al celular y teléfono fijo. No respondió,NO RELEVANTE,llame celular telefono fijo respondio,NR
5276,5277,No contesto el llamado.,NO RELEVANTE,contesto llamado,NR
7269,7270,HABLE CON  MARIA ESTA BIEN  EL MEDICO YA LE DIO LA RECETA PARA LA VACUNA,POSITIVO,hable medico receta vacuna,R
7330,7331,"bien de ánimo, esperando su caja de alimentos.",NECESIDADES OPERATIVAS,animo esperando caja alimentos,NEC_OP
8869,8870,CAJA A DOMICILIO,NECESIDADES OPERATIVAS,caja domicilio,NEC_OP
2358,2359,"El señor necesita medias ortopédicas, las cuales el compra siempre en un lugar y ahora con la situación que estamos atravesando no las puede ir a comprar",NECESIDADES OPERATIVAS,senor necesita medias ortopedicas compra situacion atravesando comprar,NEC_OP
1914,1915,se hablo con la sra  se le informa de la eximicion del abl y esta todo bien como siempre el sobrino le maneja todo,POSITIVO,hablo informa eximicion abl sobrino maneja,R
9569,9570,"alicia se encuentra bien , mantuvimos una larga charla entrenida ,se encuentra de muy buen humor ,asistida por sus hijos . quedamos en contactarnos .",POSITIVO,alicia mantuvimos larga charla entrenida humor asistida hijos quedamos contactarnos,R
12898,12838,Hable con Martina y estas bien  con un poco de dolor en la pierna y mañana va el medico a su casa,NEGATIVO,hable dolor pierna manana medico casa,R
11878,11879,se encuentra bien sin ningún inconveniente ni necesidad.,POSITIVO,inconveniente necesidad,R
5197,5198,El sr Zamara recibió la caja de alimentos. Agradece mucho.,NECESIDADES OPERATIVAS,sr zamara recibio caja alimentos agradece,NEC_OP
4836,4837,Lo llamé un par de veces pero no pude comunicarme.,NO RELEVANTE,llame par pude comunicarme,NR
3743,3744,"Gabriela pidio ser llamada con más frecuencia, aunque tiene apoyo de sus hijos y ve sus nietos esta viviendo con ansiedad el periodo de cuarentena",NEGATIVO,pidio llamada frecuencia apoyo hijos ve nietos viviendo ansiedad periodo cuarentena,R
10122,10123,esta agradecido,POSITIVO,agradecido,R
1744,1745,"7/7/20 la Sra. Chiossoni no tiene interes en que  la ayuden, cuenta con su familia",NO RELEVANTE,_digit_ _digit_ _digit_ chiossoni interes ayuden familia,NR
8443,8444,La LIC LUPI informa la finalización del Apoyo psicológico,NEUTRAL,lic lupi informa finalizacion apoyo psicologico,NR
167,168,"Llamo el 13/05, me indica que no requiere asistencia ya que se encuentra bien y que salen muy poco, a hacer las compras únicamente.",POSITIVO,llamo _digit_ _digit_ indica requiere asistencia salen compras unicamente,R
196,197,NECESITA QUE ALGUIEN RETIRE LAS RECETAS QUE LE PREPARò SU MEDICO.,NECESIDADES OPERATIVAS,necesita alguien retire recetas preparo medico,NEC_OP
11413,11414,no contesta.,NO RELEVANTE,contesta,NR
2786,2787,"Me comuniqué con la sra Adriana, me presenté y le brindé mis datos. Establecí el vinculo y acordé volver a llamarla el día viernes 7/8/20 a las 17hs.",NO RELEVANTE,comunique presente brinde datos estableci vinculo acorde volver llamarla viernes _digit_ _digit_ _digit_ _digit_hs,NR
5469,5470,Pedro esta feliz xq volvio a retomar su actividad.de Jrdinero y su mujer tambien,POSITIVO,pedro feliz xq volvio retomar actividad jrdinero mujer,R
11652,11653,"preocupado, internaron a un hijo.",NEGATIVO,preocupado internaron hijo,R
8144,8145,bien de ánimo,POSITIVO,animo,R
12013,12014,se encuentran bien de animo esta haciendo todos los tramites para poder ir al medico por el tema de la anticuagulacion el miercoles por la tarde la voy a llamar para ver como le fue con el laboratorio que va a ir a su casa para la  exteaccion de sangre que le tienen que hacer para controlar la anticuagulacion,POSITIVO,encuentran animo tramites medico tema anticuagulacion miercoles llamar laboratorio casa exteaccion sangre controlar anticuagulacion,R
2113,2114,Como se indicó el 30/04 necesitan asistencia para darse la vacuna antigripal.,NECESIDADES OPERATIVAS,_digit_ _digit_ necesitan asistencia darse vacuna antigripal,NEC_OP
8936,8937,Se entrega material cognitivo en domicilio 24/7/20.,NECESIDADES OPERATIVAS,entrega material cognitivo domicilio _digit_ _digit_ _digit_,NEC_OP
4763,4764,Caro me llamo y me preguntó si sabia cuando le tocaba la caja de alimento ya que la ultima vez se la entregaron el 08/07 asi que le dije que se quedara tranquila que ya le habia hecho el pedido al 147,NECESIDADES OPERATIVAS,caro llamo pregunto sabia tocaba caja alimento entregaron _digit_ _digit_ dije quedara tranquila pedido _digit_,NEC_OP
3326,3327,"Pareja de Sr. Dorado, con quien no pude contactar cada vez que llamé, refiere que el esta disgustado con estos llamados. Motivo, que no le dieron caja de alimentos en H. Yrigoyen. Pide que no llame mas porque se la agarra con ella.",NO RELEVANTE,pareja sr dorado pude contactar llame refiere disgustado llamados motivo caja alimentos yrigoyen pide llame agarra,NR
7359,7360,"Antes de ayer me llamó en respuesta a mis mensajes. No es posible obtener los $ 10,000.- que otorga la Nación. Conocí a una persona que se ofrece para ver si se puede obtener algún beneficio para él. Le pedí me enviara por whatsapp foto de su documento. Me dice que está muy vencido y que lo está tratando de renovar con la ayuda de un centro (no entendí de qué hablaba)  cerca de su casa. Pedí que tratara de agilizar el trámite, me dice que estaba en migraciones.  Aún no recibí la foto del viejo ni me habló del nuevo.  Hoy pasé por mensaje los comedores comunitarios de la zona, por si esta información puede aliviar su situación.",NECESIDADES OPERATIVAS,llamo respuesta mensajes posible obtener $ _digit_ _digit_ - otorga nacion conoci persona ofrece obtener beneficio pedi enviara whatsapp foto documento vencido tratando renovar ayuda centro entendi hablaba casa pedi tratara agilizar tramite migraciones recibi foto viejo hablo pase mensaje comedores comunitarios zona informacion aliviar situacion,NEC_OP
7734,7735,"El Sr. estaba ayer de cumpleaños, por eso no contesto. El me llamo mas tarde porque escucho el mensaje. (  Sr. muy amable y agradecido de la gestión)
Quedo en llamarme  hoy por la tarde mas tranquilo  . Si no lo hace lo haré yo.",NEUTRAL,sr cumpleanos contesto llamo escucho mensaje sr agradecido gestion llamarme tranquilo hare,NR
4782,4783,"Por el momento no tiene necesidad de hacer ninguna compra ya que cuenta con alimentos suficientes. Con respecto a la medicación tampoco me informó que necesita ya que hasta fin de mes se encuentra cubierta. 
Por otro lado, considero que Irma se encuentra bien de ánimo ya que se mantiene en contacto con sus familiares así como también con el centro recreativo de Vicente Lopez del cual forma parte.
Quedamos en comunicarnos la próxima semana.",POSITIVO,necesidad compra alimentos suficientes medicacion necesita mes cubierta animo mantiene contacto familiares centro recreativo vicente lopez forma quedamos comunicarnos proxima semana,R
12410,12411,"todo bien, se ayudó con una receta de pami on line",POSITIVO,ayudo receta pami on line,R
7848,7849,"Hablé con Lidia, todo ok",POSITIVO,hable ok,R
5865,5866,"Me hablo al wsapp YA QUE VIO A UN INDIGENTE durmiendo en la calle que siempre se encuentra ahí con su manta pero con los fríos que están haciendo ella quería ayudarlo a lo cual me pregunto si acá en vte lopez no realizaban campañas para los días mas fríos a lo que le dije que e quede tranquila que SIEMPRE SE REALIZAN CAMPAÑAS que es mas hoy en dia DEFENSA CIVIL SE ENCUENTRA PATRULLANDO las calles y haciendo entrega ya sea la vianda de comida o mantas para abrigo que siempre se les da la posibilidad del traslado a algún hogar pero que lamentablemente muchas veces estas personas no quieren abandonar la calle que sienten su lugar su casa, pero igualmente le facilite los números del 147 y que de allí la derivaban seguramente con el área que corresponda.
Me agradecio mucho",NEUTRAL,hablo wsapp vio indigente durmiendo calle manta frios queria ayudarlo pregunto aca vte lopez realizaban campanas frios dije quede tranquila realizan campanas defensa civil patrullando calles entrega vianda comida mantas abrigo posibilidad traslado hogar lamentablemente personas quieren abandonar calle sienten casa igualmente facilite numeros _digit_ derivaban seguramente area corresponda agradecio,NR
9935,9936,"el día 20 de abril la señora margarita manifiesta q fue a cobrar su jubilación, ella y también su esposo..que se encuentran bien y q sus hijos , les dan mucho apoyo.                                                 el día 23 de abril la señora margarita es breve durante el llamado porque estaba con una hija , quien le había traído artículos varios, indicó q tanto ella como su esposo están bien.                     en el día de la fecha la señora margarita cuenta como paso la semana, dice q se está conectando más con sus amigas dado q está de a poco comenzando a usar las redes, es una persona correcta y educada.                                         se quiere dejar constancia q la lic marina ramón se comunicó con la actuante interesándose por el estado de la señora  en este intercambio de llamadas le indique que la señora está bien , contenida por su esposo e hijos y que es una persona optimista y bien predispuesta, situación que llamada tras llamada se puede comprobar",POSITIVO,_digit_ abril senora margarita manifiesta cobrar jubilacion esposo encuentran hijos apoyo _digit_ abril senora margarita llamado hija traido articulos esposo fecha senora margarita paso semana conectando amigas comenzando redes persona correcta educada dejar constancia lic marina comunico actuante interesandose senora intercambio llamadas indique senora contenida esposo hijos persona optimista predispuesta situacion llamada llamada comprobar,R
12183,12184,se siente acompañada. no quiso especificar con quien vive pero muy agradecida. prefiere que otro adulto mayor reciba el llamado.,POSITIVO,siente acompanada quiso especificar vive agradecida prefiere adulto reciba llamado,R
12392,12393,"todo bien por ahora, se volverá a llamar.",POSITIVO,volvera llamar,R
5957,5958,LA LLAME A LUISA  Y LE DEJE EN EL CONTESTADOR,NO RELEVANTE,llame luisa deje contestador,NR
3690,3691,Sin novedad,NO RELEVANTE,novedad,NR
3933,3934,Charlamos un rato,NEUTRAL,charlamos rato,NR
4200,4201,No pude comunicarme,NO RELEVANTE,pude comunicarme,NR
657,658,Se entrega  material cognitivo en domicilio 24/7/20.,NECESIDADES OPERATIVAS,entrega material cognitivo domicilio _digit_ _digit_ _digit_,NEC_OP
8655,8656,"14.37hs hablé con Maria Josefa.
me comenta que en el dia de la fecha a las 10.15, la llamó un señor Mariano Torres de parte de MVL para entregarle una Tablet, le pidió corroborar los datos personales y que iban a volver a lamarla para la entrega. 
Como yo le habia dejado mi celular de contacto me llamó también su hijo Roberto preocupado por el llamado sospechoso, le dije que iba a realizar las averiguaciones pertinentes para dejarlos tranquilos a ella y su hijo.",NEUTRAL,_digit_ _digit_hs hable comenta fecha _digit_ _digit_ llamo senor mariano torres mvl entregarle tablet pidio corroborar datos personales iban volver lamarla entrega dejado celular contacto llamo hijo roberto preocupado llamado sospechoso dije iba averiguaciones pertinentes dejarlos tranquilos hijo,NR
5403,5404,Sin novedad,NO RELEVANTE,novedad,NR
