etiqueta1,etiqueta1a,etiqueta2,etiqueta2a,etiqueta3,etiqueta3a,etiqueta4,etiqueta4a,etiqueta5,etiqueta_final,id,necesidades operativas,texto
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,26,,se entrega alimentos en domicilio 31/7/20.
,positivo,,positivo,,positivo,,,,positivo,27,,se encuentra bien vive con su hijo  y marido y esta asitida.
,neutral,,neutral,,neutral,,,,neutral,28,,llamado realizado no necesita nada.pregunta si hay turnos en el hospital durante estos días.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,29,,Se entrega alimentos en domicilio 24/7/20.
,necesidades operativas,,necesidades operativas,,negativo,,,,necesidades operativas,30,,"Necesita una enfermera para que lo pueda ayudar y darle una inyección y curación de sus piernas ya que tiene  ulcera y necesita controlarsela.

Además se realizó el llamado de despedida."
,positivo,,positivo,,positivo,,,,positivo,31,,Hablamos por whatsapp y se encuentra bien
,no relevante,,no relevante,,no relevante,,,,no relevante,32,,Sin novedad
,neutral,,neutral,,necesidades operativas,,,,neutral,33,,Seguimos hablando del trámite de los 20000 para comerciantes pero el no reúne los requisitos para solicitarlo.
,no relevante,,no relevante,,no relevante,,,,no relevante,34,,Se llamo nuevamente pero sale el audio que el teléfono no es correcto o que ha sido desconectado 12.30 hs
,positivo,,positivo,,positivo,,,,positivo,35,,"hoy estuve con maria , fui a llevarle algunas compras por la mañana y ella esta bien. le pude sacar turno con  su oftalmologo. la clinica que ella utiliza ya esta abierta.."
,no relevante,,no relevante,,no relevante,,,,no relevante,36,,pedido
,positivo,,positivo,,neutral,,,,positivo,37,,"Bien de ánimo, dolorida por el accidente doméstico. Hoy está muy agradecida con la gestión de DS pues recibió su caja de alimentos."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,38,,SE ENTREGO ALIMENTOS EN DOMICILIO EL 17/07/2020
,negativo,,negativo,,negativo,,,,negativo,39,,"Hable con la esposa de Guillermo para poder completar la ficha en su totalidad, y luego Guillermo me comentó que extrañan muchisimo a sus familiares."
,positivo,,positivo,,positivo,,,,positivo,40,,AM indica que se encuentra bien. Tiene a su hijo y a su nuera que  le asisten y dice que no requiere que le volvamos a llamar.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,41,,COMUNICARSE PARA ASIGNARLE TURNO PARA RETIRAR LA CAJA ALIMENTARIA
,neutral,,necesidades operativas,,no relevante,,,,necesidades operativas,42,,"Se le comunicó a la voluntaria la designación de la Lic VANZANWEGHE Nayla
Inicio 19/6 -"
,negativo,,negativo,,neutral,,,,negativo,43,,"Animada ,charlamos de lo dificil que es estar encerrada ,ella se consuela cuando la viene a visitar su hijo que pasa para ver como esta y lo ve desde la pueta"
,no relevante,,no relevante,,no relevante,,,,no relevante,44,,Saber como  se encontraba
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,45,,La llame el 18 /06 Y necesita una medicación para la Artritis .Tome noto y lo voy a informar .
,no relevante,,no relevante,,no relevante,,,,no relevante,46,,"Betty me traslado su preocupacion y desconfianza por el programa de voluntariado. Me comenta que hablo con las hijas y que no sienten que sea seguro para ella misma hablar con alguien desconocido. Le conte de manera protocolar que puede acceder a mis datos e informacion pero parece distante y sin animos de querer seguir charlando. 
El miedo hace que tal vez esta sea su reaccion"
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,47,,"El Sr. Miguel Angel  Ferrari es ciego, pero vive con la esposa que se llama Patricia, necesita que le den la vacuna antigripal, vive en AV.SAN MARTIN 4135 PB, Celular 1532317674"
,necesidades operativas,,necesidades operativas,,neutral,,,,necesidades operativas,48,,"Estuve comunicandome con ella via whatsapp vs veces, pero hoy la llame para charlar un rato.  Hable tambien con su esposo.  Estan bien los dos, pero siguen preocupados.  NO LOGRAN CONSEGUIR EL TURNO MEDICO para su esposo que tuvo CANCER DE PROSTATA para que un medico les pueda leer el informe de la ECOGRAFIA que se logro hacer recientemente.    Es la unica preocupacion que los tiene intranquilos.  El resto todo ok.  Yo ya hice vs reclamos pero no logro contactar medico para este tramite de leer los resultados.    No habra alguien en la salita de carapachay que pudiera asistirlo?  Muchas gracias"
,negativo,,negativo,,neutral,,,,negativo,49,,"se encuentra bien por suerte sigue encerrada cuidándose mucho ya que ella tuvo cáncer así que no puede ni asomarse a la calle cansada de todo pero aguantando el marido va hasta capital a retirar los remedios tanto para ella como para la hija que se encuentra internada que al marido la semana pasada arriba del colectivo en liniers le arrebataron  el celular por suerte no fue nada pero ahí tenia todos los permisos y los numero para poder hablar con los médicos pero por suerte están todos bien y no fue nada y no le hicieron nada.
Me dice que el nieto esta feliz con los días fríos y ella los sufre que antes no le pasaba pero que los años no vienen solos jajajaj.
Me agradeció mucho que siempre me acuerde de ella que es una compañía muy linda y es un lindo momento cuando charlamos."
,no relevante,,no relevante,,no relevante,,,,no relevante,50,,no contesta el teléfono
,positivo,,positivo,,positivo,,,,positivo,51,,Se encuentra bien
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,52,,EL DIA 07/08/2020 SE ENTREGO CUADERNILLO ESTIMULACION COGNITIVA 1
,positivo,,positivo,,positivo,,,,positivo,53,,"está bien, y muy agradecida de recibir los llamados"
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,54,,CAJA A DOMICILIO
,no relevante,,no relevante,,no relevante,,,,no relevante,55,,"Llamo a AM, sin respuesta alguna."
,negativo,,negativo,,negativo,,,,negativo,56,,HOY HABLE CON MARIA DEL CARMEN Y LAMENTABLEMENTE  FALLECIO EL  HERMANO   HUMBERTO ESTAN MUY MAL ELLLA Y MARTINA
,positivo,,positivo,,positivo,,,,positivo,57,,"Charlamos un rato por telefono y nos reimos un poco con su gatito.  Hablamos de lo que si podemos hacer en pandemia, ej algo solidario, leer libros, y hacer muchas tareas que normalmente no tenemos tiempo.  Ella esta bien de salud, solo hizo una consulta x whatsapp a su medica por dolores de cervical.  Fue un lindo encuentro. Esta de muy buen humor.    Lo que si me pregunto por descuentos en los impuestos y le re envie un whatsapp que recibi de la municipalidad en mayo explicando todo el tema."
,positivo,,positivo,,positivo,,,,positivo,58,,Se encuentra bien. Recibió los alimentos.
,positivo,,positivo,,positivo,,,,positivo,59,,Se encuentra bien
,positivo,,positivo,,positivo,,,,positivo,60,,muy bien de animo
,no relevante,,no relevante,,no relevante,,,,no relevante,61,,me comunique para ver como estaba o si necesitaba algo y para charlar.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,62,,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO
,positivo,,positivo,,positivo,,,,positivo,63,,Se realiza el llamado correspondiente. Amelia se encuentra de buen animo y dice que todo esta bien. No necesita nada por el momento. Comentamos un rato esta pandemia que nos toca vivir y charlamos sobre como se siente animicamente y comento que esta muy bien y que se entretiene con la tele y la radio. Quedamos en hacer un próximo llamado en unos días.
,no relevante,,no relevante,,no relevante,,,,no relevante,64,,Realice ficha integral y estuvimos hablando
,negativo,,negativo,,neutral,,,,negativo,65,,"ESTÁ MUY BIEN, AUNQUE UN POCO ASUSTADA X LOS CONTAGIOS
LA LLAMARON DE LA MUNI X LOS TALLERES, EN EL HORARIO Q LE OFRECIERON ELLA NO PODÍA, SE COMPROMETIERON A LLAMARLA NUEVAMENTE PARA OFRECERLE OTRAS OPCIONES, PERO AL DÍA DE HOY AÚN NO LA LLAMARON"
,negativo,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,66,,HABLE CON KARINA Y TODAVIA NO SE PUDO COMUNICAR CON EL CARDIOLOGO  DEL HOSPITAL PARA HACER LOS ESTUDIOS DE SU MAMA  JULIA
,no relevante,,no relevante,,necesidades operativas,,,,no relevante,67,,13/7/2020 envié whatsapp de seguimiento de acuerdo a lo acordado con la AM
,positivo,,positivo,,positivo,,,,positivo,68,,Todo ok
,positivo,,positivo,,positivo,,,,positivo,69,,se hablo esta bien le informo que cambio el sist de las cajas q cuando tenga alguna novedad la llamo
,no relevante,,no relevante,,no relevante,,,,no relevante,70,,El TE. de linea no corresponde a un abonado y el celu no lo contesta
,no relevante,,no relevante,,no relevante,,,,no relevante,71,,me confunfi de persona. dar de baja a esta mujer porque no anda el telefono
,no relevante,,no relevante,,no relevante,,,,no relevante,72,,Telefono fuera de linea  - Celular no atiende
,positivo,,positivo,,positivo,,,,positivo,73,,"PATRICIA, ANGELA BIEN AHORA YA ESTA EN SU CASA ME AVISO PATRICIA CON UN MS. MAÑANA HABLO CON ELLA"
,no relevante,,no relevante,,no relevante,,,,no relevante,74,,Sin novedad
,no relevante,,no relevante,,no relevante,,,,no relevante,75,,No se encuentra en este momento
,positivo,,positivo,,positivo,,,,positivo,76,,"ANGELA BIEN ESTABA PINTANDO MANDALAS, SU HERMANO LE LLEVO MAS"
,positivo,,positivo,,positivo,,,,positivo,77,,"11hs:después de varios días de no poder comunicarme,finalmente hablamos un largo rato y me conto que esta muy bien y que no necesita nada ni le interesa ninguna actividad que le ofreci,ya que con su hija y yerno realizan juegos  y otras actividades para pasar el tiempo.Me contó que antes se reunían en el club de barrio un grupo de jubiladas y jugaban a las cartas,etc. y ahora solo se hablan con algunas por teléfono. Estaba contenta y nos agradece que sigamos llamándola para saber como esta"
,positivo,,positivo,,positivo,,,,positivo,78,,"ANGELA BIEN, FELIZ DE ESTAR EN SU CASA"
,no relevante,,no relevante,,no relevante,,,,no relevante,79,,Maria no esta interesada
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,80,,informe a pedido de la sec. de desarrollo social q en el dia de mañana le van a entregar la caja de alimentos en su domicilio
,no relevante,,no relevante,,no relevante,,,,no relevante,81,,llamé pero me atendió el contestador
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,82,,necesita un plomero trabajo en desarrollo social
,positivo,,positivo,,positivo,,,,positivo,83,,Se encuentran bien.  Hablamos  de pintura. Porque el sr es carpintero. Me asesoró para pintar unas sillas.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,84,,Se entrega Alimentos  en domicilio 14/8/20.
,positivo,,positivo,,positivo,,,,positivo,85,,"irene esta bien, con su esposo, es muy activa. siempre de buen animo."
,positivo,,positivo,,positivo,,,,positivo,86,,Llamada muy animada y divertida
,positivo,,positivo,,positivo,,,,positivo,87,,"la Sra. está muy bien, dice que no necesita nada y tiene mi teléfono agendado por cualquier cosa."
,no relevante,,no relevante,,no relevante,,,,no relevante,88,,"Deje mensaje, volveré a llamar."
,neutral,,neutral,,neutral,,,,neutral,89,,llamado realizado no necesita nada.
,positivo,,positivo,,positivo,,,,positivo,90,,Hable con Amelia. Me atendió muy bien y charlamos un rato. Me comento que esta bien y no necesita ninguna asistencia.
,no relevante,,no relevante,,no relevante,,,,no relevante,91,,"Primer llamado: va a pensar acerca de la propuesta.
Lo llamaré en un par de días"
,no relevante,,no relevante,,no relevante,,,,no relevante,92,,28/8 Llamado
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,93,,SE ENTREGA ALIMENTOS EN DOMICILIO EL 08/07/2020
,no relevante,,no relevante,,no relevante,,,,no relevante,94,,No contesto el llamado.
,no relevante,,no relevante,,no relevante,,,,no relevante,95,,No responde
,positivo,,positivo,,positivo,,,,positivo,96,,Está tranquilo y de buen humor
,no relevante,,no relevante,,no relevante,,,,no relevante,97,,"No necesita que la llamé, ya tiene asistencia, dice que se lo mencionó a la voluntaria anterior. Le dí mi teléfono x cualquier consulta."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,98,,Paso a retirar recetas por su casa y las llevo a la farmacia. Vuelvo a dejarle los medicamentos.
,positivo,,positivo,,positivo,,,,positivo,99,,El Sr Bernini se encuentra bien y cuidado por su hija que vive con el. Dice no necesitar nada y agradece la llamada.
,negativo,,negativo,,negativo,,,,negativo,100,,preocupada por la situación de recuperación de la operación de su nuera. Tiene contención familiar.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,101,,Se entrega material cognitivo en domicilio 24/7/20.
,negativo,,negativo,,negativo,,,,negativo,102,,"Se encuentra bien, cansado del encierro, pero en gral. bien."
,no relevante,,no relevante,,no relevante,,,,no relevante,103,,"Nos conectamos todas las semanas por llamado y también por wasapp,"
,no relevante,,no relevante,,no relevante,,,,no relevante,104,,"no atiende nadie
saludos"
,no relevante,,no relevante,,no relevante,,,,no relevante,105,,Llamados a adultos mayores en la fecha.
,positivo,,positivo,,positivo,,,,positivo,106,,"se encuentra bien con su familia
agradece el llamado
saludos"
,no relevante,,no relevante,,no relevante,,,,no relevante,107,,"Llamo a AM, sin respuesta alguna y es el cuarto día de llamado. Procedo a indicar en el caso ""Se mudo""."
,necesidades operativas,,neutral,,necesidades operativas,,,,necesidades operativas,108,,Lo llame para avisarle que si la sobrina va a retirar la caja de alimentos dan números y charlamos un ratito.
,no relevante,,no relevante,,no relevante,,,,no relevante,109,,Sin novedad
,negativo,,negativo,,negativo,,,,negativo,110,,"llame a Susi para ver como estaba, ella tiene toda la medicacion y ademas ya fe vacunada...estaba un poco bajoneada, pero por suerte charlamos y se animo bastante."
,neutral,,neutral,,neutral,,,,neutral,111,,"En el día de hoy, entré en contacto con la hija (Adriana), ella está viviendo con él y acompañándolo durante la pandemia. Ella comentó estar en contacto con Emilse de la Municipalidad (también del programa de asistencia a AM), con quién está coordiando un tema de remedios y recetas."
,no relevante,,no relevante,,no relevante,,,,no relevante,112,,no contesta
,positivo,,positivo,,positivo,,,,positivo,113,,Se encuentra muy bien
,no relevante,,no relevante,,no relevante,,,,no relevante,114,,Habrá algún otro dato para poder contactar a este adulto mayor?  el único telefóno que aparece es inválido.
,negativo,,negativo,,negativo,,,,negativo,115,,"hable con zule y ella esta bien, estaba un poco triste x que operaron a su perrita. pero todo salio bien."
,positivo,,positivo,,positivo,,,,positivo,116,,Se encuentra muy bien la Sra.  Tranquilos.
,positivo,,positivo,,positivo,,,,positivo,117,,La señora se anoto en el taller de bordado y está muy contenta con la profesora Paula
,neutral,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,118,,le mando por whastapp los ejercicios cognitivos
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,119,,se encuentra bien. me pidio que le envien los alimentos
,positivo,,positivo,,positivo,,,,positivo,120,,"Buenas tardes. Hable con la Sra. Graciela, esta bien junto a su madre, conforme como se están manejando el tema de la entrega de la caja de alimentos a domicilio.
Muchas Gracias"
,no relevante,,no relevante,,no relevante,,,,no relevante,121,,"En el día de la fecha llame varias veces nadie contestó, intentaré nuevamente más tarde."
,no relevante,,no relevante,,no relevante,,,,no relevante,122,,"No contesto el llamado.
El primer teléfono da tono ocupado y el segundo va directo al buzón de voz."
,positivo,,positivo,,positivo,,,,positivo,123,,Se encuentra bien y sin necesidades por el momento. Se pacta llamado dentro de unos dias.
,no relevante,,no relevante,,no relevante,,,,no relevante,124,,Volver a llamar a Chirivino María en una semana.
,no relevante,,no relevante,,no relevante,,,,no relevante,125,,"Llamo a AM a 1144783367, pero sin respuesta alguna y tampoco hay respuesta de vecino de AM al 1126461627. Procedo a indicar en la ficha de AM ""Se mudo"", ya que no hay respuesta en la comunicación."
,no relevante,,no relevante,,no relevante,,,,no relevante,126,,LLAMO SIN RESPUESTA
,no relevante,,no relevante,,no relevante,,,,no relevante,127,,No pude comunicarme
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,128,,Se entrega Cuadernillo Estimulación Cognitiva I en domicilio 7/8/20.
,neutral,,neutral,,neutral,,,,neutral,129,,"19.30hs. me contacte con Graciela  que vive con su hermano Roberto, ella es lucida y muy activa,recibe el bolsón de alimentos cada 15 dias y me dijo que siempre la llama Fernanda que trabaja en el jardín de infantes a la vuelta del hospital Houssay ,para ver como esta .Quedamos que la llame cada 15 dias por si necesita algo mas específicamente remedios, porque refirió que están muy caros."
,no relevante,,no relevante,,no relevante,,,,no relevante,130,,Sin novedad
,positivo,,positivo,,positivo,,,,positivo,131,,"Bien descansando y asistida por los sobrinos, agradece mucho el llamado."
,positivo,,positivo,,positivo,,,,positivo,132,,Muy buen animo.
,no relevante,,no relevante,,no relevante,,,,no relevante,133,,Sin novedad
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,134,,Entrega de caja de alimentos
,positivo,,positivo,,positivo,,,,positivo,135,,esta bien
,positivo,,positivo,,positivo,,,,positivo,136,,"feliz con sus nietos ,hoy le toco turno con el medico que la encontro muy bien de salud,animada y feliz con sus nietos"
,no relevante,,no relevante,,no relevante,,,,no relevante,137,,Llame y entro directamente al contestador. Deje mensaje. Quería saber si la llamaron para llevar la caja de alimentos.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,138,,Se entrega alimentos  en domicilio 24/7/20.
,neutral,,neutral,,neutral,,,,neutral,139,,"en el día de la fecha se logro la comunicación con jorge ,mantuvimos una charla amena , se hablo mucho de cocina , y aproveche para darle recetas económicas y sencillas de preparar"
,positivo,,positivo,,positivo,,,,positivo,140,,"me comunique ayer y hoy, hable con su hija ilda. la señora graciela se encuentra bien."
,no relevante,,no relevante,,no relevante,,,,no relevante,141,,Intenté nuevamente pero vuelve a indicar que el número de teléfono no corresponde a un abonado en servicio.
,no relevante,,no relevante,,no relevante,,,,no relevante,142,,no contestan el telefono
,no relevante,,no relevante,,no relevante,,,,no relevante,143,,Nuevamente nadie responde el llamado. Dejé mensaje con mis datos por las dudas
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,144,,Le informé a la Sra. Prudencia Ferreyra los lugares en que se entregan la caja de comida y lugares de vacunación.
,no relevante,,no relevante,,no relevante,,,,no relevante,145,,No pude comunicarme
,no relevante,,no relevante,,no relevante,,,,no relevante,146,,Llame otra vez pero dio el contestador
,negativo,,negativo,,negativo,,,,negativo,147,,"07/07/20 - Llamo a AM al 1160016414, me atiende. Consulto como se encuentra, me dice que mal. Tiene un problema traumatológico, los turnos que tenía los perdió y dice que ahora no están atendiendo los médicos. Está con calmantes. De la Munci la llamaron para ver si estaba vacunada, se vacunó el año pasado. Consulto si está en contacto con familares, amigos, vecinos. Me indica que si, la nieta que vive en Jujuy está en Buenos Aires, volvió por un problema de salud que tenía una hermana. La visita hoy, y se va quedar un par de días más adelante. Consulto si la nieta tiene los papeles para circular, me indica que si. Hoy la amiga le trajo la caja de alimentos, nuevamente consulto si la quiere a domicilio, me indica que no por el momento mientras la amiga pueda traerla no. Nos despedimos, agradece el llamado, y cortamos."
,neutral,,neutral,,necesidades operativas,,,,neutral,148,,"Se le envió información a la voluntaria respecto de los turnos médicos. A su vez, se derivó la  solicitud correspondiente a la Dirección de Atención Primaria de Salud"
,positivo,,positivo,,positivo,,,,positivo,149,,Todo ok
,no relevante,,no relevante,,no relevante,,,,no relevante,150,,Sin novedad
,negativo,,negativo,,negativo,,,,negativo,151,,"Se encuentra con algunos malestares, pero relativamente bien, charlamos un poco."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,152,,"
SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 24/07/2020"
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,153,,"Hablo con AM. Hacemos la encuesta, cuenta cosas de su día. Indica que NO tiene computadora y necesita. Una amiga en C.A.B.A. tiene una para regalarle pero no tiene cómo pasarla a buscar, pide averiguar de qué forma hacerlo ya que no confía en Glovo, Rappi, etc. Pide también ayuda aprender a usar zoom en el celular y hacer tutoriales de video - No está pudiendo sacar turno con el Banco Provincia y lo necesita porque no sabe cómo colocar la clave (le dice que es incorrecta)"
,no relevante,,no relevante,,no relevante,,,,no relevante,154,,Charla
,neutral,,neutral,,neutral,,,,neutral,155,,En el día de hoy me comuniqué nuevamente con la Sra. Luisa Evelia Verón me comentó que hoy fue a un nuevo cardiólogo que consiguió por su obra social IOMA. Venía con dos días de presión elevada asi que el tratarse la tranquilizó. le cambió la medicación por su cuadro de hipertensión y pudo hacerse el estudio de Electrocardiograma. Ahora esta estable.
,positivo,,positivo,,positivo,,,,positivo,156,,Todo ok. Se charló un rato para hacer contención.
,negativo,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,157,,"Nos comunicamos, con la Sra.  nos informa que Guillermo fue internado el 2/8 con neumonía esta en TI,  me volvió a solicitar la caja con art de limpieza, y la tablet.  Teniendo en cuenta que la de alimentos fue entregada el viernes 31/7/20."
,no relevante,,no relevante,,no relevante,,,,no relevante,158,,"El Sr. Osvaldo no atiende desde hace unos días, en ninguno de los dos números de teléfono.
A veces atiende la esposa."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,159,,"Contenta con mi llamado, espera que se comuniquen, para los cursos virtuales, ya que recibió la tablet."
,positivo,,positivo,,positivo,,,,positivo,160,,Siempre de buen ánimo y agradecida con la comunicación!!! Seguimos en contacto y saluda a todo el MUNICIPIO.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,161,,Se entrego alimentos en domicilio el 08/07/2020
,positivo,,positivo,,positivo,,,,positivo,162,,"La Sra. sigue recibiendo mi llamado de una manera amable y breve. siempre dice que está contenida y que se arregla bien, que por el momento no necesita nada.. Al menos me agradece el llamado amablemente y mantenemos el contacto"
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,163,,Se entrego alimentos en domicilio el 08/07/2020
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,164,,En el día de la fecha retiró caja de alimentos
,positivo,,positivo,,positivo,,,,positivo,165,,"Hablé con Leticia, se encuentra bien. Ayer la llamé y no me atendió, hoy la llamé y tampoco, parece que le funciona mal el celular. De todos modos más tarde logré comunicarme."
,no relevante,,no relevante,,no relevante,,,,no relevante,166,,Intenté nuevamente pero vuelve a indicar que el número de teléfono no corresponde a un abonado en servicio.
,no relevante,,no relevante,,no relevante,,,,no relevante,167,,llamado
,positivo,,positivo,,positivo,,,,positivo,168,,"Llamo el 13/05, me indica que no requiere asistencia ya que se encuentra bien y que salen muy poco, a hacer las compras únicamente."
,positivo,,positivo,,positivo,,,,positivo,169,,Se encuentra bien
,positivo,,positivo,,positivo,,,,positivo,170,,La Señora Beatríz Dib se encuentra bien.
,negativo,,negativo,,negativo,,,,negativo,171,,"20/08- MARIA DEL CARMEN CON MUCHO DOLOR DE CUELLO POR LA CAIDA SIGUE CON EL OJO NEGRO.
21/08- MARIA DEL CARMEN VA MEJORANDO DEL OJO Y LOS DOLORES DEL CUERPO"
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,172,,"Está bien y necesita alimentos, ya realicé el pedido."
,positivo,,positivo,,positivo,,,,positivo,173,,Está muy bien de ánimo. Me cuenta que está terminando de tejer un sweater. Está aprendiendo con un programa que ve por yputube de tejido y ya hizo varias cosas fáciles para sus nietos. Siempre habla con su hermana que es abogada y vive en congreso.
,negativo,,negativo,,negativo,,,,negativo,174,,"Hablo con AM. Se encuentra bien y me comenta que el debia hacerse un estudio de control (Eco stress) y que en la clinica donde debia hacerlo se lo pospusieron ya varias veces.
Quiere saber que hacer en este caso. Cosulto si este estudio lo realizaba a traves de PAMI y me dice que si. 
Quedamos en que lo mejor es que primero hable con PAMI para ver que le indican hacer. 
Consulto si pudo ver la pagina del archivo historico que le indique la vez pasada y me dice que si y que en estos dias volvera a verla ya que es interesante. 
AM me indica que por el momento no necesita nada mas y que  lo llame la semana que viene y que en estos dias intentara hablar con PAMI por su estudio."
,positivo,,positivo,,neutral,,,,positivo,175,,todo bien. Recibió la tablet. Está averiguando para contratar servicio de internet. Buscando la opción más económica.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,176,,se entrega alimentos en domicilio 31/7/20.
,positivo,,positivo,,positivo,,,,positivo,177,,Todo en orden
,positivo,,positivo,,positivo,,,,positivo,178,,Hablo muy atenta. Agradese la colaboración.  Se encuentra bien y por el momento no necesita nada
