id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
122,"No contesto el llamado.
El primer teléfono da tono ocupado y el segundo va directo al buzón de voz.",NO RELEVANTE,contesto llamado telefono tono ocupado directo buzon voz,NR
123,Se encuentra bien y sin necesidades por el momento. Se pacta llamado dentro de unos dias.,POSITIVO,necesidades pacta llamado,R
124,Volver a llamar a Chirivino María en una semana.,NO RELEVANTE,volver llamar chirivino semana,NR
125,"Llamo a AM a 1144783367, pero sin respuesta alguna y tampoco hay respuesta de vecino de AM al 1126461627. Procedo a indicar en la ficha de AM ""Se mudo"", ya que no hay respuesta en la comunicación.",NO RELEVANTE,llamo am _digit_ respuesta respuesta vecino am _digit_ procedo indicar ficha am mudo respuesta comunicacion,NR
126,LLAMO SIN RESPUESTA,NO RELEVANTE,llamo respuesta,NR
127,No pude comunicarme,NO RELEVANTE,pude comunicarme,NR
128,Se entrega Cuadernillo Estimulación Cognitiva I en domicilio 7/8/20.,NECESIDADES OPERATIVAS,entrega cuadernillo estimulacion cognitiva domicilio _digit_ _digit_ _digit_,NEC_OP
129,"19.30hs. me contacte con Graciela  que vive con su hermano Roberto, ella es lucida y muy activa,recibe el bolsón de alimentos cada 15 dias y me dijo que siempre la llama Fernanda que trabaja en el jardín de infantes a la vuelta del hospital Houssay ,para ver como esta .Quedamos que la llame cada 15 dias por si necesita algo mas específicamente remedios, porque refirió que están muy caros.",NEUTRAL,_digit_ _digit_hs contacte vive hermano roberto lucida activa recibe bolson alimentos _digit_ llama fernanda trabaja jardin infantes vuelta hospital houssay quedamos llame _digit_ necesita especificamente remedios refirio caros,NR
130,Sin novedad,NO RELEVANTE,novedad,NR
131,"Bien descansando y asistida por los sobrinos, agradece mucho el llamado.",POSITIVO,descansando asistida sobrinos agradece llamado,R
132,Muy buen animo.,POSITIVO,animo,R
133,Sin novedad,NO RELEVANTE,novedad,NR
134,Entrega de caja de alimentos,NECESIDADES OPERATIVAS,entrega caja alimentos,NEC_OP
135,esta bien,POSITIVO,,R
136,"feliz con sus nietos ,hoy le toco turno con el medico que la encontro muy bien de salud,animada y feliz con sus nietos",POSITIVO,feliz nietos toco turno medico encontro salud animada feliz nietos,R
137,Llame y entro directamente al contestador. Deje mensaje. Quería saber si la llamaron para llevar la caja de alimentos.,NO RELEVANTE,llame entro directamente contestador deje mensaje queria llamaron caja alimentos,NR
138,Se entrega alimentos  en domicilio 24/7/20.,NECESIDADES OPERATIVAS,entrega alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
139,"en el día de la fecha se logro la comunicación con jorge ,mantuvimos una charla amena , se hablo mucho de cocina , y aproveche para darle recetas económicas y sencillas de preparar",NEUTRAL,fecha logro comunicacion jorge mantuvimos charla hablo cocina aproveche darle recetas economicas sencillas preparar,NR
140,"me comunique ayer y hoy, hable con su hija ilda. la señora graciela se encuentra bien.",POSITIVO,comunique hable hija ilda senora,R
141,Intenté nuevamente pero vuelve a indicar que el número de teléfono no corresponde a un abonado en servicio.,NO RELEVANTE,intente nuevamente vuelve indicar numero telefono corresponde abonado servicio,NR
142,no contestan el telefono,NO RELEVANTE,contestan telefono,NR
143,Nuevamente nadie responde el llamado. Dejé mensaje con mis datos por las dudas,NO RELEVANTE,nuevamente responde llamado deje mensaje datos dudas,NR
144,Le informé a la Sra. Prudencia Ferreyra los lugares en que se entregan la caja de comida y lugares de vacunación.,NECESIDADES OPERATIVAS,informe ferreyra lugares entregan caja comida lugares vacunacion,NEC_OP
145,No pude comunicarme,NO RELEVANTE,pude comunicarme,NR
146,Llame otra vez pero dio el contestador,NO RELEVANTE,llame contestador,NR
147,"07/07/20 - Llamo a AM al 1160016414, me atiende. Consulto como se encuentra, me dice que mal. Tiene un problema traumatológico, los turnos que tenía los perdió y dice que ahora no están atendiendo los médicos. Está con calmantes. De la Munci la llamaron para ver si estaba vacunada, se vacunó el año pasado. Consulto si está en contacto con familares, amigos, vecinos. Me indica que si, la nieta que vive en Jujuy está en Buenos Aires, volvió por un problema de salud que tenía una hermana. La visita hoy, y se va quedar un par de días más adelante. Consulto si la nieta tiene los papeles para circular, me indica que si. Hoy la amiga le trajo la caja de alimentos, nuevamente consulto si la quiere a domicilio, me indica que no por el momento mientras la amiga pueda traerla no. Nos despedimos, agradece el llamado, y cortamos.",NEGATIVO,_digit_ _digit_ _digit_ - llamo am _digit_ atiende consulto problema traumatologico turnos perdio atendiendo medicos calmantes munci llamaron vacunada vacuno ano consulto contacto familares amigos vecinos indica nieta vive jujuy aires volvio problema salud hermana visita quedar par consulto nieta papeles circular indica amiga trajo caja alimentos nuevamente consulto domicilio indica amiga traerla despedimos agradece llamado cortamos,R
148,"Se le envió información a la voluntaria respecto de los turnos médicos. A su vez, se derivó la  solicitud correspondiente a la Dirección de Atención Primaria de Salud",NEUTRAL,envio informacion voluntaria turnos medicos derivo solicitud correspondiente direccion atencion primaria salud,NR
149,Todo ok,POSITIVO,ok,R
150,Sin novedad,NO RELEVANTE,novedad,NR
151,"Se encuentra con algunos malestares, pero relativamente bien, charlamos un poco.",NEGATIVO,malestares relativamente charlamos,R
152,"
SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 24/07/2020",NECESIDADES OPERATIVAS,entrego material cognitivo domicilio _digit_ _digit_ _digit_,NEC_OP
153,"Hablo con AM. Hacemos la encuesta, cuenta cosas de su día. Indica que NO tiene computadora y necesita. Una amiga en C.A.B.A. tiene una para regalarle pero no tiene cómo pasarla a buscar, pide averiguar de qué forma hacerlo ya que no confía en Glovo, Rappi, etc. Pide también ayuda aprender a usar zoom en el celular y hacer tutoriales de video - No está pudiendo sacar turno con el Banco Provincia y lo necesita porque no sabe cómo colocar la clave (le dice que es incorrecta)",NECESIDADES OPERATIVAS,hablo am encuesta indica computadora necesita amiga regalarle pasarla buscar pide averiguar forma confia glovo rappi pide ayuda aprender zoom celular tutoriales video - pudiendo sacar turno banco provincia necesita colocar clave incorrecta,NEC_OP
154,Charla,NO RELEVANTE,charla,NR
155,En el día de hoy me comuniqué nuevamente con la Sra. Luisa Evelia Verón me comentó que hoy fue a un nuevo cardiólogo que consiguió por su obra social IOMA. Venía con dos días de presión elevada asi que el tratarse la tranquilizó. le cambió la medicación por su cuadro de hipertensión y pudo hacerse el estudio de Electrocardiograma. Ahora esta estable.,NEUTRAL,comunique nuevamente luisa veron cardiologo consiguio obra social ioma venia presion elevada tratarse tranquilizo cambio medicacion cuadro hipertension hacerse estudio electrocardiograma estable,NR
156,Todo ok. Se charló un rato para hacer contención.,POSITIVO,ok charlo rato contencion,R
157,"Nos comunicamos, con la Sra.  nos informa que Guillermo fue internado el 2/8 con neumonía esta en TI,  me volvió a solicitar la caja con art de limpieza, y la tablet.  Teniendo en cuenta que la de alimentos fue entregada el viernes 31/7/20.",NECESIDADES OPERATIVAS,comunicamos informa guillermo internado _digit_ _digit_ neumonia volvio solicitar caja limpieza tablet alimentos entregada viernes _digit_ _digit_ _digit_,NEC_OP
158,"El Sr. Osvaldo no atiende desde hace unos días, en ninguno de los dos números de teléfono.
A veces atiende la esposa.",NO RELEVANTE,sr osvaldo atiende numeros telefono atiende esposa,NR
159,"Contenta con mi llamado, espera que se comuniquen, para los cursos virtuales, ya que recibió la tablet.",NECESIDADES OPERATIVAS,contenta llamado espera comuniquen cursos virtuales recibio tablet,NEC_OP
160,Siempre de buen ánimo y agradecida con la comunicación!!! Seguimos en contacto y saluda a todo el MUNICIPIO.,POSITIVO,animo agradecida comunicacion seguimos contacto saluda municipio,R
161,Se entrego alimentos en domicilio el 08/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
